a     |  bw     |  bc     |  ck
0-22  |  22-45  |  45-76  |  76a+
2,7   |  1,6    |  -      |
1,6   |  0,9    |  -      |
-     |  -      |  -      |
-     |  -      |  -      |
26,9  |  29,7   |  29,5   |  21,4
67,2  |  63,2   |  64,8   |  70,5
4,5   |  4,5    |  4,7    |  5,1
1,1   |  1,0    |  1,2    |  1,5
0,4   |  0,3    |  0,3    |  0,5
0,2   |  0,2    |  0,3    |  0,2
0,0   |  0,0    |  0,0    |  0,0
0,0   |  0,0    |  0,0    |  3,6
25,9  |  27,2   |  24,8   |  23,1
-     |  -      |  -      |
6,0   |  6,8    |  6,9    |  7,9
12,8  |  17,0   |  13,7   |
1,5   |  0,9    |  1,4    |
0,5   |  0,4    |  0,4    |  0,5
3,0   |  2,2    |  2,0    |  1,9
-     |  -      |  -      |
17,8  |  20,5   |  17,5   |
19,0  |  21,1   |  17,8   |  17,6
93,7  |  97,2   |  98,3   |  100,0
