a     |  bw     |  bc     |  ck
0-22  |  22-48  |  48-75  |  75a+
3,6   |  1,3    |  -      |
2,1   |  0,8    |  -      |
0,17  |  -      |  -      |
1,3   |  -      |  -      |
27,9  |  28,3   |  21,8   |  17,4
61,8  |  61,0   |  63,2   |  59,8
5,5   |  5,1    |  6,4    |  9,1
1,7   |  1,9    |  3,4    |  5,8
1,3   |  1,0    |  1,7    |  3,8
2,0   |  1,4    |  2,0    |  3,3
0,6   |  0,8    |  1,2    |  1,2
0,0   |  0,0    |  0,1    |  3,0
26,4  |  26,2   |  25,2   |  25,5
-     |  -      |  -      |
5,9   |  7,2    |  7,1    |  7,9
14,7  |  13,4   |  -      |
4,9   |  2,7    |  -      |
0,6   |  1,0    |  -      |
2,2   |  1,7    |  -      |
-     |  -      |  -      |
22,4  |  18,8   |  -      |
24,7  |  19,8   |  21,8   |  20,1
90,7  |  94,9   |  99,1   |  100,0
