a     |  ac     |  ck
0-23  |  23-38  |  38a+
2,8   |  -      |
1,6   |  -      |
0,17  |  -      |
9,4   |  -      |
18,2  |  20,4   |  17,4
54,7  |  55,5   |  60,0
5,3   |  5,1    |  5,8
3,2   |  3,0    |  2,9
4,2   |  3,7    |  3,2
8,2   |  6,4    |  5,0
4,3   |  3,7    |  3,3
0,0   |  0,0    |  7,4
23,5  |  22,6   |  23,0
-     |  -      |
6,2   |  6,9    |  7,7
17,4  |  20,0   |
0,9   |  1,0    |
0,3   |  0,2    |  0,2
1,5   |  0,7    |  0,4
1,7   |  0,2    |
20,1  |  21,9   |
21,8  |  22,1   |  19,6
92,2  |  99,1   |  100
