a     |  2      |  3a     |  3ac    |  3c
0-21  |  21-40  |  40-59  |  59-78  |  78a+
2.1   |  1.4    |  -      |  -      |
1.2   |  0.8    |  -      |  -      |
0.16  |  -      |  -      |  -      |
7.5   |  -      |  -      |  -      |
13.5  |  12.5   |  15.6   |  12.9   |  10.0
57.9  |  57.5   |  59.9   |  54.7   |  57.3
26.7  |  25.4   |  23.8   |  27.7   |  31.1
1.3   |  1.2    |  2.4    |  1.6    |  1.4
0.1   |  0.1    |  0.4    |  0.2    |  0.1
0.2   |  0.1    |  0.7    |  0.2    |  0.1
0.1   |  0      |  0.2    |  0.1    |  0.1
0     |  0      |  0      |  0      |  0
16.5  |  17.1   |  20.3   |  18.3   |  16.8
6.6   |  7.6    |  7.7    |  7.9    |  7.9
6.9   |  7.9    |  8.0    |  8.1    |  8.2
13.8  |  14.3   |  16.2   |  14.4   |  11.7
0.9   |  0.7    |  0.2    |  1.1    |  1.1
0.3   |  0.3    |  0.3    |  0.3    |  0.3
1.5   |  1.6    |  1.3    |  1.3    |  1.4
0.8   |  -      |  -      |  -      |
16.5  |  16.9   |  18.0   |  17.1   |  14.5
17.3  |  16.9   |  18.0   |  17.1   |  14.5
95.4  |  100    |  100    |  100    |  100
