a     |  2bt1   |  2bt2   |  2bc
0-18  |  17-43  |  43-70  |  70a+
3.6   |  2.0    |  2.3    |  1.2
2.1   |  1.2    |  1.3    |  0.7
0.24  |  0.12   |  0.12   |
8.6   |  9.5    |  10.9   |
27.9  |  29.4   |  33.2   |  24.5
57.1  |  47.3   |  51.3   |  35.3
5.5   |  5.2    |  6.7    |  5.8
1.4   |  2.3    |  1.8    |  3.1
0.9   |  5.8    |  1.7    |  8.3
0.5   |  8.3    |  3.0    |  13.9
0.3   |  5.1    |  1.6    |  8.7
0     |  0      |  0      |  0
32.3  |  23.8   |  27.0   |  18.8
-     |  -      |  -      |
6.9   |  6.2    |  6.3    |  6.5
9.8   |  10.1   |  14.2   |  9.7
1.9   |  1.5    |  2.5    |  1.9
0.2   |  0.2    |  0.2    |  0.2
0.7   |  0.6    |  0.8    |  0.6
1.0   |  2.3    |  2.2    |  1.3
12.7  |  12.3   |  17.7   |  12.4
13.7  |  16.6   |  19.9   |  13.7
92.4  |  84.4   |  89.1   |  90.6
