dss_GENERALSAVIOI.psv ->> ID..........................: 509
dss_GENERALSAVIOI.psv ->> CLASIFICACION...............: Argiustol típico
dss_GENERALSAVIOI.psv ->> SERIE.......................: GENERAL SAVIO I (GrlSvio1)
dss_GENERALSAVIOI.psv ->> UBICACION...................: 6,2 km al OSO de la localidad de Río Tercero, departamento Tercero Arriba
dss_GENERALSAVIOI.psv ->> PROVINCIA...................: CORDOBA
dss_GENERALSAVIOI.psv ->> LATITUD.....................: S321200
dss_GENERALSAVIOI.psv ->> LONGITUD....................: O641000
dss_GENERALSAVIOI.psv ->> ALTITUD.....................: 397
dss_GENERALSAVIOI.psv ->> PENDIENTE...................: FALTA!
dss_GENERALSAVIOI.psv ->> DRENAJE.....................: FALTA!
dss_GENERALSAVIOI.psv ->> ESCURRIMIENTO...............: FALTA!
dss_GENERALSAVIOI.psv ->> PERMEABILIDAD...............: FALTA!
dss_GENERALSAVIOI.psv ->> TIPO DE SUELO...............: FRANCA FINA A FINA, MIXTA, TÉRMICA
dss_GENERALSAVIOI.psv ->> COLOR ......................: PARDO GRISÁCEO MUY OSCURO
dss_GENERALSAVIOI.psv ->> HORIZONTE->NOMBRE(S)........: a | 2bt1 | 2bt2 | 2bc
dss_GENERALSAVIOI.psv ->> HORIZONTE->PROFUNDIDADES(CM): 0-18 | 17-43 | 43-70 | 70a+
dss_GENERALSAVIOI.psv ->> HORIZONTE->MATERIA ORGÁN.(%): 3.6 | 2.0 | 2.3 | 1.2
dss_GENERALSAVIOI.psv ->> HORIZONTE->CARBONO ORGÁN.(%): 2.1 | 1.2 | 1.3 | 0.7
dss_GENERALSAVIOI.psv ->> HORIZONTE->NITRÓGENO TOT.(%): 0.24 | 0.12 | 0.12 | 
dss_GENERALSAVIOI.psv ->> HORIZONTE->RELACIÓN C/N.....: 8.6 | 9.5 | 10.9 | 
dss_GENERALSAVIOI.psv ->> HORIZONTE->ARCILLA 2 (%)....: 27.9 | 29.4 | 33.2 | 24.5
dss_GENERALSAVIOI.psv ->> HORIZONTE->LIMO 2-50 (%)....: 57.1 | 47.3 | 51.3 | 35.3
dss_GENERALSAVIOI.psv ->> HORIZONTE->AMF 50-100 (%)...: 5.5 | 5.2 | 6.7 | 5.8
dss_GENERALSAVIOI.psv ->> HORIZONTE->AF 100-250 (%)...: 1.4 | 2.3 | 1.8 | 3.1
dss_GENERALSAVIOI.psv ->> HORIZONTE->AM 250-500 (%)...: 0.9 | 5.8 | 1.7 | 8.3
dss_GENERALSAVIOI.psv ->> HORIZONTE->AG 500-1000 (%)..: 0.5 | 8.3 | 3.0 | 13.9
dss_GENERALSAVIOI.psv ->> HORIZONTE->AMG 1-2 mm (%)...: 0.3 | 5.1 | 1.6 | 8.7
dss_GENERALSAVIOI.psv ->> HORIZONTE->CALCAREO CaCO3(%): 0 | 0 | 0 | 0
dss_GENERALSAVIOI.psv ->> HORIZONTE->EQUIV. HUMEDAD(%): 32.3 | 23.8 | 27.0 | 18.8
dss_GENERALSAVIOI.psv ->> HORIZONTE->PH PASTA.........: - | - | - | 
dss_GENERALSAVIOI.psv ->> HORIZONTE->PH H2O 1:2,5.....: 6.9 | 6.2 | 6.3 | 6.5
dss_GENERALSAVIOI.psv ->> HORIZONTE->CI ME/100G-Ca ++.: 9.8 | 10.1 | 14.2 | 9.7
dss_GENERALSAVIOI.psv ->> HORIZONTE->CI ME/100G-Mg ++.: 1.9 | 1.5 | 2.5 | 1.9
dss_GENERALSAVIOI.psv ->> HORIZONTE->CI ME/100G-Na +..: 0.2 | 0.2 | 0.2 | 0.2
dss_GENERALSAVIOI.psv ->> HORIZONTE->CI ME/100G-K +...: 0.7 | 0.6 | 0.8 | 0.6
dss_GENERALSAVIOI.psv ->> HORIZONTE->CI ME/100G-H +...: 1.0 | 2.3 | 2.2 | 1.3
dss_GENERALSAVIOI.psv ->> HORIZONTE->SUM.B. ME/100G(S): 12.7 | 12.3 | 17.7 | 12.4
dss_GENERALSAVIOI.psv ->> HORIZONTE->CIC ME/100G(T)...: 13.7 | 16.6 | 19.9 | 13.7
dss_GENERALSAVIOI.psv ->> HORIZONTE->SAT.B % (S/T)....: 92.4 | 84.4 | 89.1 | 90.6
