dss_TERCERAUSINA.psv ->> ID..........................: 522
dss_TERCERAUSINA.psv ->> CLASIFICACION...............: Haplustol páquico
dss_TERCERAUSINA.psv ->> SERIE.......................: TERCERA USINA (3raUs)
dss_TERCERAUSINA.psv ->> UBICACION...................: 7 km al NO de Las Bajadas, departamento Río Tercero
dss_TERCERAUSINA.psv ->> PROVINCIA...................: CORDOBA
dss_TERCERAUSINA.psv ->> LATITUD.....................: S642200
dss_TERCERAUSINA.psv ->> LONGITUD....................: O320400
dss_TERCERAUSINA.psv ->> ALTITUD.....................: 555
dss_TERCERAUSINA.psv ->> PENDIENTE...................: FALTA!
dss_TERCERAUSINA.psv ->> DRENAJE.....................: FALTA!
dss_TERCERAUSINA.psv ->> ESCURRIMIENTO...............: FALTA!
dss_TERCERAUSINA.psv ->> PERMEABILIDAD...............: FALTA!
dss_TERCERAUSINA.psv ->> TIPO DE SUELO...............: FRANCA GRUESA, MIXTA, TÉRMICA
dss_TERCERAUSINA.psv ->> COLOR ......................: PARDO GRISÁCEO MUY OSCURO
dss_TERCERAUSINA.psv ->> HORIZONTE->NOMBRE(S)........: a | 2a | 2ac | 2c
dss_TERCERAUSINA.psv ->> HORIZONTE->PROFUNDIDADES(CM): 0-25 | 25-50 | 50-80 | 80a+
dss_TERCERAUSINA.psv ->> HORIZONTE->MATERIA ORGÁN.(%): 2.4 | 1.0 | 0.8 | 
dss_TERCERAUSINA.psv ->> HORIZONTE->CARBONO ORGÁN.(%): 1.4 | 0.6 | 0.5 | 
dss_TERCERAUSINA.psv ->> HORIZONTE->NITRÓGENO TOT.(%): 0.11 | 0.05 | - | 
dss_TERCERAUSINA.psv ->> HORIZONTE->RELACIÓN C/N.....: 12.6 | 11.8 | - | 
dss_TERCERAUSINA.psv ->> HORIZONTE->ARCILLA 2 (%)....: 18.9 | 12.4 | 11.8 | 11.8
dss_TERCERAUSINA.psv ->> HORIZONTE->LIMO 2-50 (%)....: 41.3 | 28.6 | 29.8 | 29.6
dss_TERCERAUSINA.psv ->> HORIZONTE->AMF 50-100 (%)...: 13.0 | 13.8 | 14.1 | 13.4
dss_TERCERAUSINA.psv ->> HORIZONTE->AF 100-250 (%)...: 10.1 | 13.9 | 14.1 | 13.8
dss_TERCERAUSINA.psv ->> HORIZONTE->AM 250-500 (%)...: 6.6 | 9.1 | 9.0 | 8.8
dss_TERCERAUSINA.psv ->> HORIZONTE->AG 500-1000 (%)..: 7.4 | 12.6 | 12.9 | 12.5
dss_TERCERAUSINA.psv ->> HORIZONTE->AMG 1-2 mm (%)...: 2.6 | 8.2 | 8.3 | 7.9
dss_TERCERAUSINA.psv ->> HORIZONTE->CALCAREO CaCO3(%): 0 | 0 | 0 | 0
dss_TERCERAUSINA.psv ->> HORIZONTE->EQUIV. HUMEDAD(%): 22.2 | 15.5 | 14.0 | 15.8
dss_TERCERAUSINA.psv ->> HORIZONTE->PH PASTA.........: - | - | - | 
dss_TERCERAUSINA.psv ->> HORIZONTE->PH H2O 1:2,5.....: 6.0 | 6.4 | 6.6 | 6.7
dss_TERCERAUSINA.psv ->> HORIZONTE->CI ME/100G-Ca ++.: 7.6 | 6.1 | 6.6 | 7.3
dss_TERCERAUSINA.psv ->> HORIZONTE->CI ME/100G-Mg ++.: 1.5 | 1.1 | 1.4 | 1.8
dss_TERCERAUSINA.psv ->> HORIZONTE->CI ME/100G-Na +..: 0.1 | 0.1 | 0.1 | 0.1
dss_TERCERAUSINA.psv ->> HORIZONTE->CI ME/100G-K +...: 0.9 | 0.4 | 0.4 | 0.4
dss_TERCERAUSINA.psv ->> HORIZONTE->CI ME/100G-H +...: 2.4 | 1.4 | 1.1 | 1.1
dss_TERCERAUSINA.psv ->> HORIZONTE->SUM.B. ME/100G(S): 10.2 | 7.7 | 8.5 | 9.6
dss_TERCERAUSINA.psv ->> HORIZONTE->CIC ME/100G(T)...: 12.6 | 9.1 | 9.6 | 10.7
dss_TERCERAUSINA.psv ->> HORIZONTE->SAT.B % (S/T)....: 80.7 | 85.1 | 88.2 | 89.9
