a1    |  b2t    |  b3     |  c
0-23  |  23-46  |  46-74  |  74a+
3.4   |  1.7    |  -      |
2.0   |  1.0    |  -      |
0.25  |  -      |  -      |
8.0   |  -      |  -      |
14.0  |  20.9   |  11.7   |  10.9
-     |  -      |  -      |
54.3  |  49.7   |  53.1   |  54.7
25.5  |  25.0   |  30.0   |  30.0
3.5   |  2.0    |  3.0    |  2.5
1.0   |  0.5    |  0.5    |  0.5
2.0   |  1.5    |  1.0    |  1.0
0.5   |  1.0    |  1.0    |  1.0
0.0   |  0.0    |  0.0    |  0.0
15.2  |  18.0   |  17.0   |  15.2
-     |  -      |  -      |
6.3   |  6.6    |  7.1    |  7.1
6.7   |  6.9    |  7.7    |  7.6
13.2  |  14.8   |  11.6   |  12.1
0.7   |  0.5    |  1.2    |  0.4
0.4   |  0.4    |  0.3    |  0.3
2.0   |  1.3    |  1.3    |  1.1
1.9   |  1.1    |  -      |
2.2   |  2.2    |  2.1    |  2.1
