dss_las_gamas.psv ->> ID..........................: 607
dss_las_gamas.psv ->> CLASIFICACION...............: Haplustol éntico thapto mólico
dss_las_gamas.psv ->> SERIE.......................: LAS GAMAS (Gms)
dss_las_gamas.psv ->> UBICACION...................: 14 Km al NE del paraje Las Gamas, Dpto. Río Cuarto
dss_las_gamas.psv ->> PROVINCIA...................: CORDOBA
dss_las_gamas.psv ->> LATITUD.....................: S320400
dss_las_gamas.psv ->> LONGITUD....................: O640200
dss_las_gamas.psv ->> ALTITUD.....................: 382
dss_las_gamas.psv ->> PENDIENTE...................: FALTA!
dss_las_gamas.psv ->> DRENAJE.....................: FALTA!
dss_las_gamas.psv ->> ESCURRIMIENTO...............: FALTA!
dss_las_gamas.psv ->> PERMEABILIDAD...............: FALTA!
dss_las_gamas.psv ->> TIPO DE SUELO...............: FRANCA FINA, MIXTA TÉRMICA
dss_las_gamas.psv ->> COLOR ......................: PARDO OSCURO
dss_las_gamas.psv ->> HORIZONTE->NOMBRE(S)........: a | ac | iia | iiac | iic | iicca
dss_las_gamas.psv ->> HORIZONTE->PROFUNDIDADES(CM): 0-18 | 18-60 | 60-83 | 83-110 | 110-168 | 168a+
dss_las_gamas.psv ->> HORIZONTE->MATERIA ORGÁN.(%): 4.3 | 1.4 | - | - | - | 
dss_las_gamas.psv ->> HORIZONTE->CARBONO ORGÁN.(%): 2.5 | 0.8 | - | - | - | 
dss_las_gamas.psv ->> HORIZONTE->NITRÓGENO TOT.(%): 0.33 | - | - | - | - | 
dss_las_gamas.psv ->> HORIZONTE->RELACIÓN C/N.....: 7.6 | - | - | - | - | 
dss_las_gamas.psv ->> HORIZONTE->ARCILLA 2 (%)....: 18.6 | 17.9 | 22.4 | 16.0 | 11.9 | 11.3
dss_las_gamas.psv ->> HORIZONTE->LIMO 2-50 (%)....: 60.9 | 59.8 | 60.0 | 63.5 | 62.4 | 64.4
dss_las_gamas.psv ->> HORIZONTE->AMF 50-100 (%)...: 12.2 | 21.5 | 11.9 | 18.8 | 19.1 | 21.0
dss_las_gamas.psv ->> HORIZONTE->AF 100-250 (%)...: 3.6 | 2.0 | 3.2 | 2.1 | 4.4 | 3.3
dss_las_gamas.psv ->> HORIZONTE->AM 250-500 (%)...: 0.8 | 0.1 | 0.8 | 0.4 | 0.5 | 0.3
dss_las_gamas.psv ->> HORIZONTE->AG 500-1000 (%)..: 2.3 | 0.2 | 1.7 | 0.4 | 0.7 | 0.4
dss_las_gamas.psv ->> HORIZONTE->AMG 1-2 mm (%)...: 0.2 | 0 | 0.4 | 0.1 | 0.1 | 0.2
dss_las_gamas.psv ->> HORIZONTE->CaCO 3 (%).......: 0 | 0 | 0 | 0 | 0 | 3.5
dss_las_gamas.psv ->> HORIZONTE->EQUIV. HUMEDAD(%): 19.4 | 23.1 | 17.4 | 20.5 | 18.9 | 18.0
dss_las_gamas.psv ->> HORIZONTE->PH PASTA.........: 7.7 | 7.9 | 6.8 | 7.2 | 7.2 | 7.9
dss_las_gamas.psv ->> HORIZONTE->CI ME/100G-Ca ++.: 11.1 | 17.0 | 18.5 | 10.8 | 10.8 | 
dss_las_gamas.psv ->> HORIZONTE->CI ME/100G-Mg ++.: 1.2 | 1.1 | 1.8 | 1.7 | 1.7 | 
dss_las_gamas.psv ->> HORIZONTE->CI ME/100G-Na +..: 0.7 | 0.3 | 0.3 | 0.3 | 0.3 | 0.4
dss_las_gamas.psv ->> HORIZONTE->CI ME/100G-K +...: 2.4 | 1.7 | 1.8 | 1.3 | 1.3 | 1.4
dss_las_gamas.psv ->> HORIZONTE->CI ME/100G-H +...: - | - | 0.4 | - | - | 
dss_las_gamas.psv ->> HORIZONTE->Na+ % DEL VALOR T: - | - | - | - | - | 
dss_las_gamas.psv ->> HORIZONTE->SUM.B. ME/100G(S): 15.4 | 20.1 | 22.4 | 14.1 | 14.1 | 
dss_las_gamas.psv ->> HORIZONTE->CIC ME/100G(T)...: 15.4 | 20.1 | 22.8 | 14.1 | 14.1 | 14.0
dss_las_gamas.psv ->> HORIZONTE->SAT.B % (S/T)....: 100 | 100 | 98.8 | 100 | 100 | 100
