dss_san_bartolome.psv ->> ID..........................: 613
dss_san_bartolome.psv ->> CLASIFICACION...............: Argiustol típico
dss_san_bartolome.psv ->> SERIE.......................: SAN BARTOLOMÉ (Brtlm)
dss_san_bartolome.psv ->> UBICACION...................: 1 Km al SW de San Bartolomé
dss_san_bartolome.psv ->> PROVINCIA...................: CORDOBA
dss_san_bartolome.psv ->> LATITUD.....................: S244600
dss_san_bartolome.psv ->> LONGITUD....................: O444500
dss_san_bartolome.psv ->> ALTITUD.....................: 750
dss_san_bartolome.psv ->> PENDIENTE...................: FALTA!
dss_san_bartolome.psv ->> DRENAJE.....................: FALTA!
dss_san_bartolome.psv ->> ESCURRIMIENTO...............: FALTA!
dss_san_bartolome.psv ->> PERMEABILIDAD...............: FALTA!
dss_san_bartolome.psv ->> TIPO DE SUELO...............: FRANCA GRUESA
dss_san_bartolome.psv ->> COLOR ......................: PARDO GRISÁCEO MUY OSCURO
dss_san_bartolome.psv ->> HORIZONTE->NOMBRE(S)........: a1 | b2t | b3 | c
dss_san_bartolome.psv ->> HORIZONTE->PROFUNDIDADES(CM): 0-23 | 23-46 | 46-74 | 74a+
dss_san_bartolome.psv ->> HORIZONTE->MATERIA ORGÁN.(%): 3.4 | 1.7 | - | 
dss_san_bartolome.psv ->> HORIZONTE->CARBONO ORGÁN.(%): 2.0 | 1.0 | - | 
dss_san_bartolome.psv ->> HORIZONTE->NITRÓGENO TOT.(%): 0.25 | - | - | 
dss_san_bartolome.psv ->> HORIZONTE->RELACIÓN C/N.....: 8.0 | - | - | 
dss_san_bartolome.psv ->> HORIZONTE->ARCILLA 2 (%)....: 14.0 | 20.9 | 11.7 | 10.9
dss_san_bartolome.psv ->> HORIZONTE->LIMO 2-50 (%)....: - | - | - | 
dss_san_bartolome.psv ->> HORIZONTE->LIMO 2-50 (%)....: 54.3 | 49.7 | 53.1 | 54.7
dss_san_bartolome.psv ->> HORIZONTE->AMF 50-100 (%)...: 25.5 | 25.0 | 30.0 | 30.0
dss_san_bartolome.psv ->> HORIZONTE->AF 100-250 (%)...: 3.5 | 2.0 | 3.0 | 2.5
dss_san_bartolome.psv ->> HORIZONTE->AM 250-500 (%)...: 1.0 | 0.5 | 0.5 | 0.5
dss_san_bartolome.psv ->> HORIZONTE->AG 500-1000 (%)..: 2.0 | 1.5 | 1.0 | 1.0
dss_san_bartolome.psv ->> HORIZONTE->AMG 1-2 mm (%)...: 0.5 | 1.0 | 1.0 | 1.0
dss_san_bartolome.psv ->> HORIZONTE->CaCO 3 (%).......: 0.0 | 0.0 | 0.0 | 0.0
dss_san_bartolome.psv ->> HORIZONTE->EQUIV. HUMEDAD(%): 15.2 | 18.0 | 17.0 | 15.2
dss_san_bartolome.psv ->> HORIZONTE->H2O PASTA........: - | - | - | 
dss_san_bartolome.psv ->> HORIZONTE->PH PASTA.........: 6.3 | 6.6 | 7.1 | 7.1
dss_san_bartolome.psv ->> HORIZONTE->PH H2O 1:2,5.....: 6.7 | 6.9 | 7.7 | 7.6
dss_san_bartolome.psv ->> HORIZONTE->CI ME/100G-Ca ++.: 13.2 | 14.8 | 11.6 | 12.1
dss_san_bartolome.psv ->> HORIZONTE->CI ME/100G-Mg ++.: 0.7 | 0.5 | 1.2 | 0.4
dss_san_bartolome.psv ->> HORIZONTE->CI ME/100G-Na +..: 0.4 | 0.4 | 0.3 | 0.3
dss_san_bartolome.psv ->> HORIZONTE->CI ME/100G-K +...: 2.0 | 1.3 | 1.3 | 1.1
dss_san_bartolome.psv ->> HORIZONTE->CI ME/100G-H +...: 1.9 | 1.1 | - | 
dss_san_bartolome.psv ->> HORIZONTE->Na+ % DEL VALOR T: 2.2 | 2.2 | 2.1 | 2.1
