e     |  bt     |  bw     |  bck
0-20  |  20-51  |  51-80  |  80a+
3.6   |  1.63   |  0.44   |  0.8
2.10  |  0.95   |  0.26   |  0.47
0.17  |  0.10   |  0.07   |  0.05
11.9  |  9.22   |  3.37   |
27.7  |  35.4   |  29.6   |  23.5
65.1  |  58.3   |  64.5   |  64.5
6.0   |  5.5    |  4.9    |  7.5
1.9   |  1.3    |  1.2    |  2.4
-     |  -      |  -      |  1.9
-     |  -      |  -      |
-     |  -      |  -      |
0     |  0      |  0      |  2.8
33.5  |  31.9   |  33.1   |  34.0
6.0   |  6.7    |  7.5    |  8.3
7.6   |  7.6    |  7.9    |  9.2
10.3  |  13.9   |  16.7   |
3.1   |  6.3    |  5.5    |
0.7   |  2.0    |  5.7    |  15.7
2.5   |  2.1    |  1.9    |  2.3
7.3   |  4.6    |  2.5    |
3.3   |  8.1    |  20.0   |  66.2
-     |  -      |  5.75   |  9.61
16.6  |  24.3   |  29.8   |
20.9  |  24.4   |  28.5   |  23.7
79    |  99     |  100    |
