a1    |  bw     |  bc     |  c      |  ck
0-16  |  16-43  |  43-72  |  72-86  |  86a+
3.13  |  0.58   |  0.58   |  0.27   |
1.82  |  0.34   |  0.34   |  0.16   |  0.06
0.16  |  0.08   |  0.05   |  0.03   |
11.1  |  3.9    |  6.5    |  4.2    |
21.1  |  22.4   |  19.4   |  12.7   |  11.4
64.6  |  59.9   |  62.4   |  60.2   |  61
12.2  |  17.5   |  17.5   |  25.1   |  24.3
0.4   |  0.5    |  0.7    |  0.9    |  0.84
-     |  -      |  -      |  -      |
-     |  -      |  -      |  -      |
-     |  -      |  -      |  -      |
0     |  0      |  0      |  0      |  4.61
26    |  26.4   |  22.2   |  19.3   |  19
6     |  5.8    |  6.1    |  6.7    |  7
6.1   |  6.7    |  7.3    |  7.6    |  7.7
12.6  |  13.1   |  13.6   |  13     |
3.3   |  3.9    |  2.2    |  3      |
0.2   |  0.3    |  0.2    |  0.2    |  0.3
2.6   |  2.3    |  1.4    |  1.6    |  1.9
2.6   |  1.7    |  1      |  -      |
-     |  -      |  -      |  -      |
18.7  |  19.6   |  17.4   |  17.8   |
21.0  |  21.3   |  18.4   |  17     |  16.8
89.0  |  92.0   |  95.6   |  100    |
