e      |  bt     |  bc     |  ck
0-16   |  16-49  |  49-76  |  76a+
2.32   |  0.99   |  -      |
1.35   |  0.58   |  0.31   |  0.14
0.137  |  0.083  |  0.060  |  0.040
9.8    |  7.0    |  5.2    |  3.5
26.3   |  36.1   |  33.6   |  24.9
66.0   |  57.0   |  59.3   |  67.7
6.0    |  4.8    |  6.3    |  7.4
0.9    |  0.6    |  0.5    |  0.6
-      |  -      |  -      |
-      |  -      |  -      |
-      |  -      |  -      |
0      |  0      |  0      |  0.56
26.7   |  31.2   |  30.7   |  31.9
6.7    |  7.6    |  7.6    |  7.8
-      |  -      |  -      |
15.2   |  16.3   |  14.0   |
2.1    |  3.5    |  2.7    |
1.4    |  3.9    |  4.4    |  6.2
3      |  4.8    |  4.8    |  1.1
1.60   |  -      |  -      |
-      |  13.9   |  16.4   |  23.8
-      |  -      |  -      |  4.44
21.7   |  28.5   |  26.9   |
22     |  28     |  26.8   |  26
98.6   |  100    |  100    |
-      |  -      |  -      |  9.1
-      |  -      |  -      |  0.6
-      |  -      |  -      |  37.0
-      |  -      |  -      |  1.95
-      |  -      |  -      |  1.5
-      |  -      |  -      |  31.0
-      |  -      |  -      |  14.0
