e     |  bt1   |  bt2    |  bc     |  ck
0-9   |  9-32  |  32-46  |  46-74  |  74a+
2.13  |  0.75  |  -      |  -      |
1.24  |  0.44  |  0.14   |  0.08   |  0.06
0.15  |  0.06  |  0.04   |  -      |
7.9   |  7.0   |  3.3    |  -      |
11.3  |  19.2  |  18.9   |  16.0   |  9.6
73.4  |  65.7  |  66.8   |  71.4   |  62.2
11.2  |  9.2   |  9.7    |  10.3   |  21.8
4.2   |  4.3   |  3.9    |  3.9    |  5.4
0.2   |  0.9   |  0.1    |  -      |
-     |  -     |  -      |  -      |
-     |  -     |  -      |  -      |
0     |  0.63  |  0.81   |  0.84   |  1.87
20.8  |  33.5  |  37.4   |  30     |  21
6.3   |  9.4   |  9.1    |  9.0    |  8.8
6.8   |  10    |  9.7    |  9.7    |  9.6
6.1   |  -     |  -      |  -      |
1.4   |  -     |  -      |  -      |
3.8   |  20.8  |  18.0   |  12.4   |  4.6
2.4   |  3.6   |  3.4    |  2.7    |  1.9
0.90  |  -     |  -      |  -      |
26.4  |  76.4  |  70.8   |  50.9   |  25.8
5.58  |  -     |  -      |  -      |
13.7  |  -     |  -      |  -      |
14.4  |  27.2  |  25.4   |  20.8   |  17.8
95    |  -     |  -      |  -      |
