a     |  ac     |  c      |  ck
0-24  |  24-56  |  56-75  |  75a+
1,9   |  0,9    |  -      |  -
1,10  |  0,50   |  -      |  --
0,18  |  -      |  -      |  -
6,1   |  -      |  -      |  -
16,0  |  14,6   |  11,9   |  10,8
54,5  |  57,5   |  62,4   |  60,5
27,0  |  20,8   |  23,2   |  23,9
1,9   |  3,9    |  3,5    |  3,7
0,1   |  0,1    |  0,2    |  0,2
0,2   |  0,2    |  0,2    |  0,1
0,1   |  0,1    |  0,1    |  0,0
0,0   |  0,0    |  0,0    |  3,0
21,1  |  20,1   |  21,5   |  18,2
6,1   |  6,7    |  7,0    |  8,1
6,3   |  7,1    |  7,5    |  8,4
9,8   |  11,0   |  11,1   |
1,3   |  1,3    |  0,9    |
0,3   |  0,1    |  0,2    |  0,3
1,5   |  1,3    |  1,2    |  1,3
1,3   |  0,4    |  -      |
2,1   |  0,7    |  1,5    |  2,5
2,1   |  0,7    |  1,5    |  2,5
12,9  |  13,7   |  13,4   |
14,2  |  14,0   |  13,4   |  12,1
90,8  |  97,9   |  100    |
