a     |  ac     |  c      |  ck
0-25  |  25-40  |  40-92  |  92a+
2,06  |  0,86   |  -      |  -
1,2   |  0,5    |  -      |  -
0,08  |  -      |  -      |  -
12,5  |  -      |  -      |  -
9,0   |  7,8    |  5,1    |  4,0
51,9  |  51,7   |  50,2   |  50,9
38,0  |  38,3   |  43,5   |  35,7
3,2   |  3,3    |  2,1    |  7,8
0,1   |  0,0    |  0,0    |  0,0
0,4   |  0,1    |  0,0    |  0,1
0,0   |  0,0    |  0,0    |  0,0
0,0   |  0,0    |  0,0    |  3,8
15,2  |  12,7   |  12,4   |  6,6
6,4   |  6,8    |  7,2    |  8,4
6,7   |  7,0    |  7,4    |  8,6
8,2   |  8,5    |  8,8    |
1,2   |  0,9    |  1,7    |
0,3   |  0,2    |  0,2    |  0,2
2,1   |  1,8    |  1,4    |  0,9
1,4   |  1,1    |  0,7    |
11,8  |  11,4   |  12,1   |  -
13,2  |  12,5   |  12,8   |  7,9
89,4  |  91,2   |  94,5   |  -
