a     |  ac     |  ck
0-21  |  21-50  |  50a+
1,37  |  0,51   |  -
0,8   |  0,3    |  -
0,13  |  0,08   |  -
6,1   |  3,7    |  -
10,6  |  8,8    |  7,8
39,2  |  38,2   |  38,0
46,0  |  51,6   |  51,4
3,1   |  0,7    |  2,1
0,4   |  0,0    |  0,0
0,0   |  0,0    |  0,0
0,0   |  0,0    |  0,0
0,0   |  0,0    |  2,9
15,1  |  12,5   |  11,9
5,8   |  6,9    |  8,3
6,0   |  7,1    |  8,6
5,9   |  6,9    |
1,2   |  1,1    |
0,2   |  0,2    |  0,1
1,8   |  1,2    |  0,8
1,6   |  0,6    |
1,9   |  2,0    |
9,1   |  9,4    |
10,9  |  10,0   |  8,5
83,5  |  94,0   |
