A     |  AC     |  C
0-17  |  17-40  |  40a+
1,0   |  -      |  -
0,60  |  -      |  -
0,08  |  -      |  -
7,5   |  -      |  -
11,5  |  9,9    |  6,8
40,8  |  40,0   |  40,4
45,0  |  45,0   |  48,5
2,6   |  2,8    |  2,4
0,3   |  0,4    |  0,0
0,4   |  0,5    |  0,4
0,0   |  0,0    |  0,0
0,0   |  0,0    |  0,0
12,0  |  12,6   |  10,4
6,2   |  6,4    |  6,5
6,3   |  6,5    |  6,6
11,1  |  7,9    |  7,1
0,6   |  1,9    |  0,7
0,4   |  0,4    |  0,4
1,1   |  1,0    |  0,7
0,6   |  0,4    |  0,4
2,9   |  3,4    |  4,3
13,2  |  11,2   |  8,9
13,8  |  11,6   |  9,3
95,7  |  96,6   |  95,7
