A     |  B      |  C
0-22  |  22-51  |  51a+
2,8   |  -      |  -
1,60  |  -      |  -
0,19  |  -      |  -
8,4   |  -      |  -
10,1  |  12,5   |  10,3
48,5  |  49,5   |  48,3
35,0  |  35,5   |  39,0
4,5   |  2,0    |  1,5
1,0   |  0,0    |  0,0
0,5   |  0,0    |  0,5
0,0   |  0,0    |  0,0
0,0   |  0,0    |  0,0
19,2  |  15,8   |  14,0
6,1   |  6,5    |  7,0
6,7   |  7,1    |  7,3
11,3  |  10,6   |  10,8
0,9   |  1,1    |  0,9
0,4   |  0,2    |  0,2
2,1   |  1,5    |  1,4
2,0   |  1,0    |  0,4
2,4   |  1,4    |  1,5
14,7  |  13,4   |  13,3
16,7  |  14,6   |  13,8
88,0  |  91,8   |  96,4
