ap    |  a      |  ac     |  c
0-15  |  15-25  |  25-55  |  55a+
1,81  |  2,01   |  0,83   |  ---
1,05  |  1,17   |  0,48   |  ---
0,09  |  0,13   |  0,08   |  ---
11,6  |  9      |  6      |  ---
13,9  |  13,1   |  13,1   |  11,2
28,8  |  28,2   |  25,2   |  23
42,4  |  40,5   |  46     |  49,3
14,8  |  16,3   |  15,3   |  15,3
0,4   |  0,4    |  0,4    |  0,4
0,7   |  0,8    |  0,3    |  0,8
0     |  0      |  0      |  0
0     |  0      |  0      |  0
14,8  |  13,6   |  13,6   |  11
5,8   |  5,9    |  6,2    |  6,8
6     |  6      |  6,4    |  6,9
0,8   |  1,2    |  0,7    |  2,1
0,3   |  0,1    |  0,2    |  0,1
1,6   |  1,6    |  1,2    |  1
2,3   |  2,2    |  1,2    |  0,7
10,2  |  10     |  9,8    |  9,3
12,6  |  12,2   |  11,2   |  10,1
2,4   |  0,8    |  1,8    |  1
81    |  82     |  87,5   |  92,1
