e     |  btn    |  btn2   |  bc      |  c
0-18  |  18-35  |  35-66  |  66-103  |  103a+
1,38  |  0,41   |  0,29   |  0,1     |  ---
0,8   |  0,24   |  0,17   |  0,12    |  ---
0,09  |  0,06   |  0,04   |  ---     |  ---
8,9   |  4      |  4,2    |  ---     |  ---
9,6   |  24,2   |  19,3   |  12,5    |  11,9
36    |  27,9   |  27,4   |  27,9    |  25
32,2  |  35     |  30,9   |  41,7    |  41,4
21,4  |  14,2   |  22,1   |  17,4    |  19,1
0,4   |  0,3    |  0,3    |  0,3     |  0,4
0,4   |  0,2    |  0,2    |  0,3     |  0,5
0     |  0      |  0      |  0       |  0
0     |  1      |  0,6    |  0       |  0,3
14,7  |  25,8   |  20,7   |  16,6    |  16,3
6,1   |  8,5    |  8,9    |  9       |  9
6,3   |  9,1    |  9,4    |  9,4     |  9,4
2,4   |  ---    |  ---    |  0,8     |  ---
0,7   |  8,5    |  10,1   |  8,5     |  9,4
1     |  2,3    |  2,3    |  1,7     |  2
1,8   |  ---    |  ---    |  ---     |  ---
8     |  ---    |  ---    |  14,7    |  ---
10    |  16,5   |  15,3   |  14,7    |  13
7     |  51,5   |  66     |  57,8    |  72,3
80    |  100    |  100    |  100     |  100
