--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: ap    | a     | ba    | bt1   | bt2   | bt3   | bc    | c     | ck
HORIZONTE->Profundidad muestra: 5     | 18    | 25    | 33    | 45    | 80    | 110   | 135   | 200
HORIZONTE->Mat. orgánica: 3.28  | 1.64  | 1.14  | 0.93  | 0.84  | 0.48  | 0.24  | 0.17  | 0.19
HORIZONTE->C orgánico: 1.90  | 0.95  | 0.66  | 0.54  | 0.49  | 0.28  | 0.14  | 0.10  | 0.11
HORIZONTE->N total: 0.162 | 0.104 | 0.082 | 0.080 | 0.084 | 0.044 | 0.034 | ---   | ---
HORIZONTE->Relación C/N: 12    | 9     | 8     | 7     | 6     | 6     | 4     | ---   | ---
HORIZONTE->Arcilla < 2µ: 24.0  | 32.2  | 33.3  | 43.0  | 47.7  | 38.3  | 26.2  | 24.0  | 22.0
HORIZONTE->Limo 2-50µ: 73.2  | 63.9  | 63.1  | 54.2  | 48.8  | 57.3  | 69.4  | 72.4  | 71.0
HORIZONTE->TOTAL: 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 97.0
HORIZONTE->Limo 2-20µ: 36.8  | 28.6  | 30.2  | 23.0  | 21.4  | 25.0  | 32.0  | 30.0  | 28.0
HORIZONTE->Muy fina 50-100µ: 2.4   | 3.2   | 3.1   | 2.5   | 3.1   | 3.9   | 3.5   | 2.8   | 3.2
HORIZONTE->Fina 100-250µ: 0.3   | 0.6   | 0.4   | 0.2   | 0.3   | 0.4   | 0.6   | 0.6   | 0.7
HORIZONTE->Media 250-500µ: 0.1   | 0.1   | 0.1   | 0.1   | 0.1   | 0.1   | 0.3   | 0.2   | 0.1
HORIZONTE->Gruesa 500-1000µ: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
HORIZONTE->Muy gruesa 1-2mm: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
HORIZONTE->Calcáreo, CaCO3: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.2   | 1.5
HORIZONTE->Equiv.humedad: 28.5  | 27.2  | 27.5  | 33.3  | 36.1  | 31.7  | 28.1  | 27.5  | 27.4
HORIZONTE->Resist.pasta: ---   | ---   | ---   | ---   | ---   | ---   | ---   | ---   | ---
HORIZONTE->pH pasta (1:1): 5.4   | 5.2   | 5.4   | 5.7   | 5.9   | 6.0   | 6.7   | 6.9   | 7.3
HORIZONTE->pH agua (1:2,5): 5.5   | 5.3   | 5.6   | 5.9   | 6.2   | 6.3   | 7.1   | 7.3   | 7.7
HORIZONTE->pH 1N ClK (1:2,5): ---   | ---   | ---   | ---   | ---   | ---   | ---   | ---   | ---
HORIZONTE->Ca++ intercambio: 12.3  | 10.8  | 11.5  | 14.5  | 18.8  | 18.4  | 17.8  | ---   | ---
HORIZONTE->Mg++ intercambio: 3.1   | 3.1   | 3.9   | 5.6   | 6.3   | 5.4   | 5.8   | ---   | ---
HORIZONTE->Na+ intercambio: 0.2   | 0.3   | 0.2   | 0.3   | 0.3   | 0.2   | 0.2   | 0.3   | 0.3
HORIZONTE->K+ intercambio: 2.3   | 1.9   | 2.2   | 3.2   | 3.8   | 3.1   | 2.2   | 2.3   | 3.0
HORIZONTE->H+ intercambio: 6.8   | 5.8   | 4.8   | 4.9   | 4.0   | 3.9   | 2.0   | ---   | ---
HORIZONTE->(Na+/T): 0.9   | 1.4   | 0.9   | 1.1   | 0.9   | 0.7   | 0.7   | 1.3   | 1.3
HORIZONTE->C.I.C., (T): 23.2  | 20.8  | 21.6  | 27.7  | 31.7  | 29.6  | 26.8  | 23.1  | 23.4
HORIZONTE->Suma bases (S): 17.9  | 16.1  | 17.8  | 23.6  | 29.2  | 27.1  | 26.0  | ---   | ---
HORIZONTE->Sat.bases, (S/T): 77    | 77    | 82    | 85    | 92    | 92    | 97    | ---   | ---
