--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: a     | eb    | bt1   | bt2   | bt3    | bc1     | bc2     | c
HORIZONTE->Profundidad muestra: 0-15  | 15-30 | 30-60 | 60-80 | 80-100 | 100-130 | 130-165 | 165-205
HORIZONTE->Mat. orgánica: 5.88  | 1.28  | 0.67  | 0.52  | 0.38   | 0.12    | 0.10    | 0.10
HORIZONTE->C orgánico: 3.41  | 0.74  | 0.39  | 0.30  | 0.22   | 0.07    | 0.06    | 0.06
HORIZONTE->N total: 0.287 | 0.098 | 0.081 | 0.072 | 0.072  | 0.071   | 0.056   | 0.049
HORIZONTE->Relación C/N: 12    | 8     | 5     | 4     | 3      | 1       | 1       | 1
HORIZONTE->Arcilla < 2µ: 36.5  | 27.5  | 38.5  | 40.0  | 37.0   | 33.0    | 32.0    | 39.5
HORIZONTE->Limo 2-50µ: 58.5  | 64.5  | 55.0  | 53.0  | 55.0   | 54.5    | 52.0    | 47.5
HORIZONTE->TOTAL: 99.0  | 99.7  | 99.6  | 99.6  | 99.9   | 98.8    | 93.5    | 98.1
HORIZONTE->Limo 2-20µ: 30    | 36    | 25.5  | 22    | 21.5   | 28      | 22      | 17
HORIZONTE->Muy fina 50-100µ: 2.0   | 3.7   | 2.6   | 3.0   | 3.4    | 5.2     | 3.5     | 3.7
HORIZONTE->Fina 100-250µ: 1.6   | 3.2   | 2.6   | 2.8   | 3.5    | 5.1     | 4.8     | 5.8
HORIZONTE->Media 250-500µ: 0.3   | 0.8   | 0.7   | 0.7   | 0.8    | 0.9     | 1.1     | 1.6
HORIZONTE->Gruesa 500-1000µ: 0.0   | 0.0   | 0.2   | 0.1   | 0.1    | 0.1     | 0.1     | 0.1
HORIZONTE->Muy gruesa 1-2mm: 0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0     | 0.0
HORIZONTE->Calcáreo, CaCO3: ---   | ---   | ---   | ---   | ---    | ---     | ---     | ---
HORIZONTE->Equiv.humedad: ---   | ---   | ---   | ---   | ---    | ---     | ---     | ---
HORIZONTE->Resist.pasta: ---   | ---   | ---   | ---   | ---    | ---     | ---     | ---
HORIZONTE->pH pasta (1:1): 5.6   | 6.1   | 6.6   | 6.9   | 7.4    | 7.5     | 7.3     | 7.0
HORIZONTE->pH agua (1:2,5): 5.9   | 6.4   | 7.0   | 7.2   | 7.8    | 7.9     | 7.8     | 7.6
HORIZONTE->pH 1N ClK (1:2,5): 5.0   | 5.2   | 5.5   | 6.0   | 6.1    | 6.0     | 5.9     | 5.8
HORIZONTE->Ca++ intercambio: 13.0  | 8.6   | 14.8  | 15.1  | 16.1   | 13.2    | 16.3    | 16.3
HORIZONTE->Mg++ intercambio: 1.7   | 0.2   | 2.8   | 5.6   | 3.6    | 2.5     | 2.8     | 1.9
HORIZONTE->Na+ intercambio: 0.4   | 0.4   | 0.7   | 1.0   | 1.1    | 1.0     | 1.1     | 1.1
HORIZONTE->K+ intercambio: 1.1   | 0.5   | 1.3   | 1.5   | 1.5    | 1.4     | 1.6     | 1.6
HORIZONTE->H+ intercambio: 4.3   | 3.8   | 1.5   | 1.5   | 1.0    | 1.4     | 1.6     | 1.6
HORIZONTE->(Na+/T): 1.8   | 2.9   | 3.2   | 4.1   | 4.8    | 5.2     | 5.0     | 5.0
HORIZONTE->C.I.C., (T): 22.1  | 13.7  | 21.9  | 24.1  | 23.1   | 19.1    | 22.0    | 22.0
HORIZONTE->Suma bases (S): 16.2  | 9.7   | 19.6  | 23.2  | 22.3   | 18.1    | 21.8    | 20.9
HORIZONTE->Sat.bases, (S/T): 73    | 71    | 89    | 96    | 97     | 95      | 99      | 95
