--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: ap    | ba    | bt1   | bt2   | bc    | c     | ck
HORIZONTE->Profundidad muestra: 5     | 21    | 35    | 53    | 85    | 145   | 220
HORIZONTE->Mat. orgánica: 3.47  | 1.50  | 0.86  | 0.86  | 0.53  | 0.17  | ---
HORIZONTE->C orgánico: 2.01  | 0.87  | 0.50  | 0.50  | 0.31  | 0.10  | ---
HORIZONTE->N total: 0.174 | 0.090 | 0.072 | 0.069 | 0.02  | ---   | ---
HORIZONTE->Relación C/N: 12    | 10    | 7     | 7     | 18    | ---   | ---
HORIZONTE->Arcilla < 2µ: 24.2  | 29.0  | 34.9  | 31.7  | 26.8  | 18.4  | 16.2
HORIZONTE->Limo 2-50µ: 63.4  | 56.8  | 52.3  | 52.8  | 55.6  | 62.2  | 51.5
HORIZONTE->TOTAL: 100.0 | 100.4 | 100.0 | 100.0 | 100.0 | 100.0 | 95.8
HORIZONTE->Limo 2-20µ: ---   | ---   | ---   | ---   | ---   | ---   | ---
HORIZONTE->Muy fina 50-100µ: 11.6  | 13.2  | 12.4  | 14.9  | 16.3  | 17.7  | 25.7
HORIZONTE->Fina 100-250µ: 0.8   | 1.4   | 0.4   | 0.6   | 1.3   | 1.7   | 2.4
HORIZONTE->Media 250-500µ: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
HORIZONTE->Gruesa 500-1000µ: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
HORIZONTE->Muy gruesa 1-2mm: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
HORIZONTE->Calcáreo, CaCO3: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 4.2
HORIZONTE->Equiv.humedad: 29.3  | 28.9  | 30.8  | 32.4  | 29.2  | 22.1  | 21.8
HORIZONTE->Resist.pasta: ---   | ---   | ---   | ---   | ---   | ---   | ---
HORIZONTE->pH pasta (1:1): 6.2   | 6.1   | 6.4   | 6.2   | 6.3   | 6.6   | 8.0
HORIZONTE->pH agua (1:2,5): 7.5   | 7.5   | 7.3   | 7.6   | 7.6   | 7.7   | 8.5
HORIZONTE->pH 1N ClK (1:2,5): ---   | ---   | ---   | ---   | ---   | ---   | ---
HORIZONTE->Ca++ intercambio: 11.6  | 10.6  | 12.6  | 14.6  | 13.6  | 9.8   | ---
HORIZONTE->Mg++ intercambio: 3.2   | 4.1   | 5.0   | 5.7   | 5.1   | 5.4   | ---
HORIZONTE->Na+ intercambio: 0.3   | 0.3   | 0.3   | 0.3   | 0.2   | 0.4   | 0.3
HORIZONTE->K+ intercambio: 2.0   | 1.8   | 2.0   | 2.0   | 2.3   | 2.4   | 2.3
HORIZONTE->H+ intercambio: 6.7   | 5.3   | 5.0   | 5.5   | 4.7   | 3.0   | ---
HORIZONTE->(Na+/T): 1.5   | 1.4   | 1.3   | 1.1   | 0.8   | 2.1   | 1.8
HORIZONTE->C.I.C., (T): 20.3  | 21.0  | 23.7  | 26.3  | 24.0  | 19.3  | 16.6
HORIZONTE->Suma bases (S): 17.1  | 16.8  | 19.9  | 22.6  | 21.2  | 18.0  | ---
HORIZONTE->Sat.bases, (S/T): 84    | 80    | 84    | 86    | 88    | 93    | ---
