--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: a     | ba   | bt1   | bt2   | bt3    | bc      | c       | ck
HORIZONTE->Profundidad muestra: 0-26  | 26   | 38-61 | 61-90 | 90-115 | 115-153 | 153-200 | +      de  200
HORIZONTE->Mat. orgánica: 2.76  | 1.72 | 0.86  | 0.52  | 0.34   | 0.34    | 0.17    | 0.17
HORIZONTE->C orgánico: 1.60  | 1.00 | 0.50  | 0.30  | 0.20   | 0.20    | 0.10    | 0.10
HORIZONTE->N total: 0.12  | 0.08 | 0.05  | 0.04  | 0.04   | 0.03    | 0.02    | 0.03
HORIZONTE->Relación C/N: 13    | 13   | 9     | 7     | 6      | 6       | 5       | 4
HORIZONTE->Arcilla < 2µ: 26.7  | 32.9 | 44.6  | 43.1  | 35.0   | 28.3    | 18.5    | 18.8
HORIZONTE->Limo 2-50µ: 64.2  | 59.7 | 48.6  | 50.9  | 56.9   | 61.5    | 68.1    | 67.6
HORIZONTE->TOTAL: 100.0 | 99.9 | 100.0 | 100.0 | 100.0  | 100.0   | 100.0   | 100.0
HORIZONTE->Limo 2-20µ: 32.7  | 31.3 | 25.3  | 26.6  | 31.2   | 32.9    | 38.1    | 37
HORIZONTE->Muy fina 50-100µ: 4.8   | 3.8  | 3.4   | 3.2   | 4.6    | 5.6     | 5.8     | 6.8
HORIZONTE->Fina 100-250µ: 3.8   | 3.2  | 3.1   | 2.5   | 3.2    | 4.3     | 6.6     | 6.2
HORIZONTE->Media 250-500µ: 0.5   | 0.3  | 0.3   | 0.3   | 0.3    | 0.3     | 1.0     | 0.6
HORIZONTE->Gruesa 500-1000µ: 0.0   | 0.0  | 0.0   | 0.0   | 0.0    | 0.0     | 0.0     | 0.0
HORIZONTE->Muy gruesa 1-2mm: 0.0   | 0.0  | 0.0   | 0.0   | 0.0    | 0.0     | 0.0     | 0.0
HORIZONTE->Calcáreo, CaCO3: ---   | ---  | ---   | ---   | ---    | ---     | ---     | ---
HORIZONTE->Equiv.humedad: ---   | ---  | ---   | ---   | ---    | ---     | ---     | ---
HORIZONTE->Resist.pasta: 5065  | 4204 | 2330  | 1925  | 2026   | 2330    | 2026    | 2026
HORIZONTE->pH pasta (1:1): ---   | ---  | ---   | ---   | ---    | ---     | ---     | ---
HORIZONTE->pH agua (1:2,5): 6.0   | 5.8  | 5.9   | 6.1   | 6.2    | 6.4     | 7.2     | 7.4
HORIZONTE->pH 1N ClK (1:2,5): ---   | ---  | ---   | ---   | ---    | ---     | ---     | ---
HORIZONTE->Ca++ intercambio: 8.8   | 9.6  | 13.3  | 15.2  | 12.3   | 10.6    | 13.1    | 12.9
HORIZONTE->Mg++ intercambio: 1.1   | 1.3  | 1.4   | 1.6   | 2.5    | 2.3     | 3.7     | 4.5
HORIZONTE->Na+ intercambio: 0.5   | 0.4  | 0.6   | 0.5   | 0.6    | 0.5     | 0.5     | 0.5
HORIZONTE->K+ intercambio: 1.1   | 0.9  | 1.5   | 1.7   | 1.7    | 1.7     | 1.7     | 1.7
HORIZONTE->H+ intercambio: 2.0   | 2.0  | 2.0   | 1.5   | 1.5    | 1.5     | 0.5     | 0.5
HORIZONTE->(Na+/T): 3.2   | 2.3  | 2.7   | 2.3   | 2.9    | 2.5     | 2.7     | 2.3
HORIZONTE->C.I.C., (T): 15.5  | 17.7 | 22.6  | 21.6  | 20.7   | 19.8    | 18.7    | 21.8
HORIZONTE->Suma bases (S): 11.5  | 12.2 | 16.8  | 19.0  | 17.1   | 15.1    | 19.0    | 19.6
HORIZONTE->Sat.bases, (S/T): 74    | 69   | 74    | 88    | 83     | 76      | 102     | 90
