--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: a     | b     | bt1   | bt2   | bt3   | bc   | ck
HORIZONTE->Profundidad: 0     | 25    | 37    | 51    | 85    | 112  | 147
HORIZONTE->muestra: 25    | 37    | 51    | 85    | 112   | 147  | 240
HORIZONTE->Mat. orgánica: 2.64  | 1.29  | 1.60  | 0.81  | 0.48  | 0.21 | 0.14
HORIZONTE->C orgánico: 1.53  | 0.75  | 0.93  | 0.47  | 0.28  | 0.12 | 0.08
HORIZONTE->N total: 0.153 | 0.096 | 0.093 | 0.073 | 0.06  | 0.04 | 0.04
HORIZONTE->Relación C/N: 10    | 8     | 10    | 6     | 5     | 3    | 2
HORIZONTE->Arcilla < 2µ: 21.5  | 29.0  | 48.5  | 49.0  | 40.5  | 33.0 | 31.5
HORIZONTE->Limo 2-50µ: 74.5  | 69.5  | 49.0  | 49.0  | 58.0  | 63.5 | 65.5
HORIZONTE->TOTAL: 99.4  | 100.2 | 99.4  | 100.0 | 100.1 | 99.7 | 100.1
HORIZONTE->Limo 2-20µ: 32.5  | 29.5  | 18.5  | 19    | 24.5  | 28.5 | 23.5
HORIZONTE->Muy fina 50-100µ: 3.1   | 1.6   | 1.9   | 1.9   | 1.5   | 3.0  | 2.9
HORIZONTE->Fina 100-250µ: 0.2   | 0.1   | 0.0   | 0.1   | 0.1   | 0.2  | 0.2
HORIZONTE->Media 250-500µ: 0.1   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0  | 0.0
HORIZONTE->Gruesa 500-1000µ: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0  | 0.0
HORIZONTE->Muy gruesa 1-2mm: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0  | 0.0
HORIZONTE->Calcáreo, CaCO3: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0  | 0.0
HORIZONTE->Equiv.humedad: 26.8  | 25.2  | 39.0  | 47.3  | 44.1  | 43.3 | 39.6
HORIZONTE->Resist.pasta: 3676  | 3628  | 2292  | 2148  | 2148  | 2578 | 2624
HORIZONTE->pH pasta (1:1): 5.5   | 5.8   | 5.7   | 6.1   | 6.1   | 6.2  | 6.4
HORIZONTE->pH agua (1:2,5): 6.0   | 6.4   | 6.7   | 7.2   | 7.1   | 7.2  | 7.5
HORIZONTE->pH 1N ClK (1:2,5): 5.2   | 5.3   | 5.1   | 5.3   | 5.4   | 5.4  | 5.6
HORIZONTE->Ca++ intercambio: 11.6  | 12.8  | 18.4  | 23.6  | 19.8  | 19.6 | 14.8
HORIZONTE->Mg++ intercambio: 2.0   | 2.4   | 2.2   | 4.4   | 4.4   | 2.6  | 6.2
HORIZONTE->Na+ intercambio: 0.9   | 0.9   | 0.8   | 0.8   | 0.9   | 1.0  | 1.0
HORIZONTE->K+ intercambio: 2.5   | 2.7   | 2.8   | 3.5   | 3.9   | 3.8  | 2.1
HORIZONTE->H+ intercambio: ---   | ---   | ---   | ---   | ---   | ---  | ---
HORIZONTE->(Na+/T): 4.6   | 4.3   | 3.3   | 2.2   | 2.8   | 3.3  | 3.8
HORIZONTE->C.I.C., (T): 19.4  | 21.0  | 24.6  | 36.4  | 32.2  | 30.2 | 26.6
HORIZONTE->Suma bases (S): 17.0  | 18.8  | 24.2  | 32.3  | 29.0  | 27.0 | 24.1
HORIZONTE->Sat.bases, (S/T): 88    | 90    | 98    | 89    | 90    | 89   | 91
