--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: ap    | a     | b     | bc    | c
HORIZONTE->Profundidad: 0     | 20    | 36    | 67    | 98
HORIZONTE->muestra: 20    | 36    | 67    | 98    | 145
HORIZONTE->Mat. orgánica: 1.93  | 1.57  | 1.02  | 0.36  | 0.21
HORIZONTE->C orgánico: 1.12  | 0.91  | 0.59  | 0.21  | 0.12
HORIZONTE->N total: 0.102 | 0.062 | 0.071 | 0.035 | ---
HORIZONTE->Relación C/N: 11    | 15    | 8     | 6     | ---
HORIZONTE->Arcilla < 2µ: 16.0  | 23.9  | 21.7  | 16.8  | 15.8
HORIZONTE->Limo 2-50µ: 43.1  | 39.0  | 39.5  | 43.0  | 42.4
HORIZONTE->TOTAL: 100.0 | 100.0 | 100.0 | 100.0 | 100.0
HORIZONTE->Limo 2-20µ: ---   | ---   | ---   | ---   | ---
HORIZONTE->Muy fina 50-100µ: 39.3  | 35.3  | 37.0  | 37.7  | 38.9
HORIZONTE->Fina 100-250µ: 1.6   | 1.8   | 1.8   | 2.5   | 2.9
HORIZONTE->Media 250-500µ: 0.0   | 0.0   | 0.0   | 0.0   | 0.0
HORIZONTE->Gruesa 500-1000µ: 0.0   | 0.0   | 0.0   | 0.0   | 0.0
HORIZONTE->Muy gruesa 1-2mm: 0.0   | 0.0   | 0.0   | 0.0   | 0.0
HORIZONTE->Calcáreo, CaCO3: 0.0   | 0.0   | 0.0   | 0.0   | 0.0
HORIZONTE->Equiv.humedad: 16.5  | 21.7  | 18.2  | 16.5  | 14.5
HORIZONTE->Resist.pasta: ---   | ---   | ---   | ---   | ---
HORIZONTE->pH pasta (1:1): 5.9   | 6.1   | 6.2   | 6.7   | 7.0
HORIZONTE->pH agua (1:2,5): 6.6   | 6.9   | 7.0   | 7.6   | 8.0
HORIZONTE->pH 1N ClK (1:2,5): ---   | ---   | ---   | ---   | ---
HORIZONTE->Ca++ intercambio: 9.1   | 10.7  | 9.7   | 8.7   | 7.0
HORIZONTE->Mg++ intercambio: 2.2   | 3.3   | 4.4   | 5.3   | 4.4
HORIZONTE->Na+ intercambio: 0.3   | 0.9   | 0.4   | 0.4   | 0.5
HORIZONTE->K+ intercambio: 1.8   | 1.8   | 1.3   | 1.0   | 1.4
HORIZONTE->H+ intercambio: 4.4   | 4.2   | 3.4   | 3.1   | 1.8
HORIZONTE->(Na+/T): 2.0   | 4.8   | 2.4   | 2.5   | 3.6
HORIZONTE->C.I.C., (T): 15.0  | 18.8  | 16.5  | 16.1  | 13.9
HORIZONTE->Suma bases (S): 13.4  | 16.7  | 15.8  | 15.4  | 13.3
HORIZONTE->Sat.bases, (S/T): 89    | 89    | 96    | 96    | 96
