--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: a     | e     | bt1   | bt2   | bt3  | bc   | c
HORIZONTE->Profundidad: 0     | 19    | 26    | 51    | 67   | 92   | 125
HORIZONTE->muestra: 19    | 26    | 51    | 67    | 92   | 125  | 235
HORIZONTE->Mat. orgánica: 1.95  | 0.91  | 0.60  | 0.43  | 0.22 | 0.09 | 0.07
HORIZONTE->C orgánico: 1.13  | 0.53  | 0.35  | 0.25  | 0.13 | 0.05 | 0.04
HORIZONTE->N total: 0.125 | 0.079 | 0.075 | 0.057 | 0.02 | 0.01 | 0.01
HORIZONTE->Relación C/N: 9     | 7     | 5     | 4     | 8    | 4    | 7
HORIZONTE->Arcilla < 2µ: 21.5  | 21.0  | 49.5  | 45.0  | 30.0 | 22.5 | 18.0
HORIZONTE->Limo 2-50µ: 73.5  | 75.0  | 48.5  | 51.0  | 65.5 | 72.5 | 71.5
HORIZONTE->TOTAL: 99.6  | 100.1 | 100.0 | 100.0 | 99.3 | 99.9 | 99.3
HORIZONTE->Limo 2-20µ: 29.5  | 32.5  | 19.5  | 20.5  | 28   | 33.5 | 30.5
HORIZONTE->Muy fina 50-100µ: 3.5   | 3.3   | 1.5   | 2.5   | 3.2  | 3.8  | 5.9
HORIZONTE->Fina 100-250µ: 0.9   | 0.7   | 0.3   | 1.1   | 0.4  | 1.0  | 3.8
HORIZONTE->Media 250-500µ: 0.2   | 0.1   | 0.2   | 0.4   | 0.2  | 0.1  | 0.1
HORIZONTE->Gruesa 500-1000µ: 0.0   | 0.0   | 0.0   | 0.0   | 0.0  | 0.0  | 0.0
HORIZONTE->Muy gruesa 1-2mm: 0.0   | 0.0   | 0.0   | 0.0   | 0.0  | 0.0  | 0.0
HORIZONTE->Calcáreo, CaCO3: ---   | ---   | ---   | ---   | ---  | ---  | ---
HORIZONTE->Equiv.humedad: 31.6  | 29.7  | 45.6  | 43.8  | 40.9 | 32.4 | 32.4
HORIZONTE->Resist.pasta: 4965  | 8125  | 2121  | 1941  | 2257 | 2719 | 2184
HORIZONTE->pH pasta (1:1): 5.8   | 6.0   | 6.6   | 6.3   | 7.4  | 7.5  | 7.2
HORIZONTE->pH agua (1:2,5): 6.1   | 6.2   | 7.5   | 7.0   | 7.8  | 7.9  | 7.8
HORIZONTE->pH 1N ClK (1:2,5): 5.1   | 4.6   | 4.9   | 4.7   | 5.0  | 5.0  | 5.1
HORIZONTE->Ca++ intercambio: 8.6   | 5.8   | 18.8  | 18.2  | 15.8 | 12.4 | 12.0
HORIZONTE->Mg++ intercambio: 1.6   | 1.8   | 2.2   | 2.0   | 2.2  | 2.2  | 2.0
HORIZONTE->Na+ intercambio: 1.6   | 1.8   | 2.4   | 2.4   | 2.4  | 2.4  | 3.8
HORIZONTE->K+ intercambio: 1.5   | 1.0   | 2.7   | 2.5   | 2.7  | 2.5  | 2.7
HORIZONTE->H+ intercambio: 2.1   | 2.0   | ---   | ---   | ---  | ---  | ---
HORIZONTE->(Na+/T): 10.0  | 12.2  | 9.2   | 9.2   | 9.9  | 12.0 | 18.4
HORIZONTE->C.I.C., (T): 16.0  | 14.7  | 26.2  | 26.0  | 24.2 | 20.0 | 20.6
HORIZONTE->Suma bases (S): 13.3  | 10.4  | 26.1  | 25.1  | 23.1 | 19.5 | 20.5
HORIZONTE->Sat.bases, (S/T): 83    | 71    | 100   | 97    | 95   | 98   | 100
