HORIZONTE->NOMBRE(S)........# : e | bt1 | bt2 | bc | c
HORIZONTE->Profundidad muestra# cm: 5 | 30 | 60 | 80 | 110
HORIZONTE->Mat. orgánica# %: 0.97 | 0.09 | 0.07 | --- | ---
HORIZONTE->C orgánico# %: 0.56 | 0.05 | 0.04 | --- | ---
HORIZONTE->N total# %: 0.054 | --- | --- | --- | ---
HORIZONTE->Relación C/N# ---: 10 | --- | --- | --- | ---
HORIZONTE->Arcilla < 2µ# %: 10.7 | 25.1 | 14.9 | 11.2 | 8.9
HORIZONTE->Limo 2-50µ# %: 17.4 | 11.4 | 10.5 | 10.4 | 8.9
HORIZONTE->TOTAL# %: 100.0 | 99.9 | 100.0 | 100.0 | 100.0
HORIZONTE->Limo 2-20µ# %: --- | --- | --- | --- | ---
HORIZONTE->Muy fina 50-100µ# %: 66.5 | 56.9 | 65.1 | 69.7 | 72.1
HORIZONTE->Fina 100-250µ# %: 5.3 | 6.4 | 9.4 | 8.6 | 10.0
HORIZONTE->Media 250-500µ# %: 0.1 | 0.1 | 0.1 | 0.1 | 0.1
HORIZONTE->Gruesa 500-1000µ# %: --- | --- | --- | --- | ---
HORIZONTE->Muy gruesa 1-2mm# %: --- | --- | --- | --- | ---
HORIZONTE->Calcáreo, CaCO3# %: 0.0 | 0.1 | vest. | vest. | vest.
HORIZONTE->Equiv.humedad# %: 9.4 | 23.0 | 14.8 | 10.2 | 8.2
HORIZONTE->Resist.pasta# ohms: --- | --- | --- | --- | ---
HORIZONTE->pH pasta (1:1)# ---: 6.9 | 8.3 | 8.9 | 9.3 | 9.0
HORIZONTE->pH agua (1:2,5)# ---: 7.3 | 9.1 | 9.7 | 9.9 | 10.0
HORIZONTE->pH 1N ClK (1:2,5)# ---: --- | --- | --- | --- | ---
HORIZONTE->Ca++ intercambio# me/100g: 3.7 | --- | --- | --- | ---
HORIZONTE->Mg++ intercambio# me/100g: 2.5 | --- | --- | --- | ---
HORIZONTE->Na+ intercambio# me/100g: 0.4 | 5.4 | 7.4 | 7.1 | 4.9
HORIZONTE->K+ intercambio# me/100g: 2.6 | 3.5 | 3.3 | 3.1 | 3.1
HORIZONTE->H+ intercambio# me/100g: 2.0 | --- | --- | --- | ---
HORIZONTE->(Na+/T)# %: 5.1 | 19.6 | 38.9 | 37.2 | 46.2
HORIZONTE->C.I.C., (T)# me/100g: 7.9 | 27.5 | 19.0 | 19.1 | 10.6
HORIZONTE->Suma bases (S)# me/100g: 9.2 | --- | --- | --- | ---
HORIZONTE->Sat.bases, (S/T)# %: 116 | --- | --- | --- | ---
