HORIZONTE->NOMBRE(S)........# : a | b | bt1 | bt2 | bt3 | bc | c
HORIZONTE->Profundidad muestra# cm: 0 | 30 | 42 | 75 | 96 | 117 | 146
HORIZONTE->Mat. orgánica# %: 2.12 | 1.29 | 0.84 | 0.66 | 0.33 | 0.14 | ---
HORIZONTE->C orgánico# %: 1.23 | 0.75 | 0.49 | 0.38 | 0.19 | 0.08 | ---
HORIZONTE->N total# %: 0.112 | 0.077 | 0.066 | 0.053 | 0.04 | 0.03 | 0.023
HORIZONTE->Relación C/N# ---: 11 | 10 | 7 | 7 | 5 | 3 | ---
HORIZONTE->Arcilla < 2µ# %: 27.1 | 34.2 | 54.5 | 42.4 | 37.6 | 27.3 | 21.0
HORIZONTE->Limo 2-50µ# %: 66.1 | 59.2 | 41.6 | 53.4 | 56.6 | 65.1 | 69.2
HORIZONTE->TOTAL# %: 100.0 | 100.0 | 99.5 | 100.0 | 100.0 | 100.0 | 100.0
HORIZONTE->Limo 2-20µ# %: 31.6 | 30.1 | 20.5 | 28.6 | 31.4 | 33.1 | 36.5
HORIZONTE->Muy fina 50-100µ# %: 4.9 | 4.9 | 2.3 | 3.2 | 4.6 | 6.0 | 5.1
HORIZONTE->Fina 100-250µ# %: 1.6 | 1.5 | 0.9 | 0.9 | 1.0 | 1.5 | 4.6
HORIZONTE->Media 250-500µ# %: 0.3 | 0.2 | 0.2 | 0.1 | 0.2 | 0.1 | 0.1
HORIZONTE->Gruesa 500-1000µ# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Muy gruesa 1-2mm# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Calcáreo, CaCO3# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Equiv.humedad# %: --- | --- | --- | --- | --- | --- | ---
HORIZONTE->Resist.pasta# ohms: 5232 | 3456 | 1579 | 1727 | 1974 | 2220 | 2517
HORIZONTE->pH pasta (1:1)# ---: 6.3 | 6.5 | 6.5 | 7.1 | 7.2 | 7.3 | 7.4
HORIZONTE->pH agua (1:2,5)# ---: 6.4 | 6.7 | 6.8 | 7.3 | 7.5 | 7.5 | 7.5
HORIZONTE->pH 1N ClK (1:2,5)# ---: 5.2 | 5.3 | 5.5 | 5.5 | 5.5 | 5.5 | 5.5
HORIZONTE->Ca++ intercambio# me/100g: 10.7 | 11.9 | 20.7 | 17.7 | 15.4 | 14.5 | 14
HORIZONTE->Mg++ intercambio# me/100g: 0.4 | 0.6 | 1.5 | 2.3 | 3.1 | 1.7 | 1.6
HORIZONTE->Na+ intercambio# me/100g: 0.3 | 0.3 | 0.5 | 0.5 | 0.4 | 0.4 | 0.4
HORIZONTE->K+ intercambio# me/100g: 1.0 | 1.0 | 1.5 | 1.5 | 1.4 | 1.4 | 1.4
HORIZONTE->H+ intercambio# me/100g: 2.2 | 1.1 | 1.1 | 1.1 | 1.1 | 1.1 | 1.1
HORIZONTE->(Na+/T)# %: 2.1 | 1.9 | 1.9 | 2.0 | 1.9 | 2.1 | 2.1
HORIZONTE->C.I.C., (T)# me/100g: 14.4 | 15.5 | 26.5 | 24.5 | 21.4 | 19.4 | 19.4
HORIZONTE->Suma bases (S)# me/100g: 12.4 | 13.8 | 24.2 | 22.0 | 20.3 | 18.0 | 17.4
HORIZONTE->Sat.bases, (S/T)# %: 86 | 89 | 91 | 90 | 95 | 93 | 90
