HORIZONTE->NOMBRE(S)........# : a | e | bt | bc | ck
HORIZONTE->Profundidad muestra# cm: 0 | 24 | 33 | 64 | 124
HORIZONTE->Mat. orgánica# %: 3.09 | 0.88 | 0.52 | 0.10 | 0.12
HORIZONTE->C orgánico# %: 1.79 | 0.51 | 0.30 | 0.06 | 0.07
HORIZONTE->N total# %: 0.182 | 0.070 | 0.067 | --- | ---
HORIZONTE->Relación C/N# ---: 10 | 7 | 4 | --- | ---
HORIZONTE->Arcilla < 2µ# %: 16.9 | 13.2 | 21.0 | 17.1 | 11.6
HORIZONTE->Limo 2-50µ# %: 60.9 | 63.6 | 56.6 | 55.7 | 50.0
HORIZONTE->TOTAL# %: 101.6 | 101.1 | 99.0 | 98.3 | 97.7
HORIZONTE->Limo 2-20µ# %: --- | --- | --- | --- | ---
HORIZONTE->Muy fina 50-100µ# %: 22.3 | 23.8 | 20.4 | 24.4 | 34.2
HORIZONTE->Fina 100-250µ# %: 1.5 | 0.5 | 1.0 | 1.1 | 1.9
HORIZONTE->Media 250-500µ# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Gruesa 500-1000µ# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Muy gruesa 1-2mm# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Calcáreo, CaCO3# %: 0.00 | 0.00 | 0.00 | 0.09 | 2.77
HORIZONTE->Equiv.humedad# %: 23.7 | 19.0 | 31.1 | 25.3 | 18.5
HORIZONTE->Resist.pasta# ohms: --- | --- | --- | --- | ---
HORIZONTE->pH pasta (1:1)# ---: 5.9 | 6.5 | 6.7 | 8.1 | 8.1
HORIZONTE->pH agua (1:2,5)# ---: 6.1 | 6.7 | 7.1 | 9.1 | 9.1
HORIZONTE->pH 1N ClK (1:2,5)# ---: --- | --- | --- | --- | ---
HORIZONTE->Ca++ intercambio# me/100g: 8.7 | 7.8 | 12.0 | --- | ---
HORIZONTE->Mg++ intercambio# me/100g: 2.2 | 2.3 | 2.2 | --- | ---
HORIZONTE->Na+ intercambio# me/100g: 0.3 | 0.8 | 4.5 | 6.4 | ---
HORIZONTE->K+ intercambio# me/100g: 2.5 | 1.6 | 3.3 | 4.6 | ---
HORIZONTE->H+ intercambio# me/100g: --- | --- | --- | --- | ---
HORIZONTE->(Na+/T)# %: 1.7 | 5.6 | 19.9 | 32.0 | ---
HORIZONTE->C.I.C., (T)# me/100g: 17.9 | 14.2 | 22.6 | 20.0 | 15.5
HORIZONTE->Suma bases (S)# me/100g: 13.7 | 12.5 | 22.0 | --- | ---
HORIZONTE->Sat.bases, (S/T)# %: 77 | 88 | 97 | --- | ---
HORIZONTE->Comp. Extr. Sat.# :  | - | - | - | 
HORIZONTE->Ca++# me/l: - | - | - | 5.7 | 15.0
HORIZONTE->Mg++# me/l: - | - | - | 6.7 | 10.0
HORIZONTE->Na+# me/l: - | - | - | 52.0 | 117.0
HORIZONTE->K+# me/l: - | - | - | 1.9 | 3.5
HORIZONTE->CO3-# me/l: - | - | - | 4.6 | 4.6
HORIZONTE->SO4=# me/l: - | - | - | 33.6 | 78.0
HORIZONTE->Cl-# me/l: - | - | - | 28.4 | 64.8
HORIZONTE->RAS# ---: - | - | - | 21 | 33
