a     | e     | bt    | bc
5     | 25    | 40    | 75
2.43  | 0.66  | ---   | ---
1.41  | 0.38  | ---   | ---
0.150 | 0.055 | ---   | ---
9     | 7     | ---   | ---
15.9  | 13.6  | 27.5  | 20.9
27.7  | 25.5  | 21.1  | 25.2
100.2 | 100.0 | 100.0 | 100.0
---   | ---   | ---   | ---
54.3  | 58.5  | 48.7  | 50.7
2.2   | 2.3   | 2.7   | 3.2
0.1   | 0.1   | ---   | ---
---   | ---   | ---   | ---
---   | ---   | ---   | ---
0.0   | 0.0   | vest. | vest.
18.5  | 12.6  | 25.6  | 22.9
---   | ---   | ---   | ---
5.9   | 6.9   | 8.4   | 8.5
6.9   | 7.9   | 9.2   | 9.3
---   | ---   | ---   | ---
7.0   | 10.8  | ---   | ---
2.8   | 3.0   | ---   | ---
0.4   | 0.4   | 9.0   | 11.0
2.3   | 2.2   | 4.7   | 5.1
4.4   | 2.0   | ---   | ---
2.8   | 2.4   | 35.6  | 46.4
14.1  | 16.6  | 25.3  | 23.7
12.5  | 16.4  | ---   | ---
89    | 99    | ---   | ---
