a     | btg1  | btg2
0     | 20    | 40
1.29  | 0.57  | 0.40
0.75  | 0.33  | 0.23
0.084 | 0.054 | 0.034
9     | 6     | 7
25.3  | 59.0  | 35.7
63.1  | 34.0  | 54.3
99.5  | 98.2  | 98.5
---   | ---   | ---
10.5  | 4.8   | 8.0
0.6   | 0.4   | 0.5
0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0
0.5   | 1.8   | 1.5
45.5  | 86.8  | 67.7
---   | ---   | ---
8.9   | 9.0   | 8.2
9.5   | 9.4   | 9.1
---   | ---   | ---
---   | ---   | ---
---   | ---   | ---
19.3  | 27.4  | 21.0
2.8   | 4.5   | 3.6
---   | ---   | ---
58.8  | 52.3  | 45.2
32.8  | 52.4  | 46.5
---   | ---   | ---
---   | ---   | ---
