a2    | b21t  | b22t  | b3    | cca
0     | 15    | 40    | 72    | 130
2.72  | 1.21  | 0.50  | 0.24  | 0.14
1.58  | 0.70  | 0.29  | 0.14  | 0.08
0.154 | 0.072 | 0.033 | 0.018 | ---
10    | 10    | 9     | 8     | ---
24.1  | 36.9  | 26.4  | 25.8  | 21.5
70.1  | 59.3  | 67.0  | 68.5  | 69.4
100.0 | 100.1 | 100.0 | 100.0 | 100.0
37.8  | 39.8  | 31.8  | 30.5  | 40.7
5.3   | 3.5   | 5.3   | 4.7   | 7.1
0.4   | 0.3   | 0.7   | 0.8   | 1.6
0.1   | 0.1   | 0.6   | 0.2   | 0.4
0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0
---   | ---   | ---   | ---   | ---
---   | ---   | ---   | ---   | ---
1241  | 243   | 153   | 212   | 243
7.2   | 7.4   | 7.8   | 7.9   | 8.0
7.4   | 7.8   | 8.1   | 8.2   | 8.7
6.0   | 6.3   | 6.4   | 6.4   | 7.4
11.0  | 18.5  | 17.3  | 11.0  | 16.4
2.0   | 2.4   | 2.6   | 2.8   | 3.0
2.3   | 5.1   | 5.7   | 5.6   | 5.1
1.6   | 1.1   | 2.9   | 1.1   | 2.6
---   | ---   | ---   | ---   | ---
13.4  | 18.6  | 19.1  | 26.0  | 18.3
17.2  | 27.4  | 29.9  | 21.5  | 27.8
16.9  | 27.1  | 28.5  | 20.5  | 27.1
98    | 99    | 95    | 95    | 97
-     | -     | -     | -     |
---   | 7.8   | 13.0  | 9.4   | 7.2
---   | 2.6   | 6.2   | 8.2   | 3.6
---   | 56.0  | 108.0 | 104.0 | 92.0
---   | ---   | ---   | ---   | ---
---   | 4.1   | 2.4   | 2.2   | 2.3
---   | 48.4  | 91.2  | 93.2  | 68.0
---   | 18.2  | 33.0  | 44.2  | 45.0
---   | 25    | 35    | 35    | 40
