a     | e     | bt1   | bt2   | bt3     | bcm
5-15  | 25-30 | 37-47 | 60-90 | 100-110 | 120-140
3.29  | 1.52  | 1.22  | 1.09  | 0.76    | 0.50
1.91  | 0.88  | 0.71  | 0.63  | 0.44    | 0.29
0.187 | 0.092 | 0.086 | 0.085 | 0.06    | 0.05
10    | 10    | 8     | 7     | 7       | 6
30.0  | 28.0  | 41.5  | 54.0  | 48.7    | 45.9
69.1  | 71.1  | 57.8  | 45.3  | 50.2    | 52.3
100.0 | 100.0 | 100.0 | 100.0 | 100.0   | 99.1
40.9  | 36.2  | 20.9  | 33.7  | 34.8    | 37.4
0.7   | 0.6   | 0.5   | 0.4   | 0.6     | 0.1
0.1   | 0.2   | 0.1   | 0.2   | 0.3     | 0.5
0.1   | 0.1   | 0.1   | 0.1   | 0.2     | 0.3
0.0   | 0.0   | 0.0   | 0.0   | 0.0     | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0     | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0     | 0.0
32.5  | 29.4  | 32.7  | 46.0  | 41.0    | 37.8
4146  | 3823  | 2341  | 1529  | 1482    | 1396
5.8   | 5.8   | 6.0   | 6.6   | 6.9     | 6.8
6.2   | 6.3   | 6.7   | 7.1   | 7.4     | 7.3
---   | ---   | ---   | ---   | ---     | ---
10.9  | 8.6   | 13.1  | 20.9  | 18.9    | 17.4
2.2   | 3.4   | 5.9   | 6.8   | 7.0     | 6.5
0.3   | 0.3   | 0.5   | 0.8   | 0.8     | 0.9
1.9   | 1.7   | 1.7   | 2.9   | 2.7     | 2.6
6.4   | 4.3   | 4.4   | 4.0   | 3.5     | 3.4
1.4   | 1.7   | 2.0   | 2.3   | 2.5     | 3.1
21.9  | 18.0  | 25.5  | 34.1  | 32.1    | 29.0
15.3  | 14.0  | 21.2  | 31.4  | 29.4    | 27.4
70    | 78    | 83    | 92    | 92      | 94
