a     | e     | bt1   | bt2   | bc     | ck
0-15  | 15-22 | 22-52 | 52-90 | 90-130 | 130-180
2.07  | 1.55  | 0.86  | 0.34  | 0.17   | 0.00
1.20  | 0.90  | 0.50  | 0.20  | 0.10   | 0.00
0.160 | 0.112 | 0.087 | 0.083 | 0.08   | 0.07
8     | 8     | 6     | 2     | 1      | 0
19.0  | 17.0  | 32.5  | 27.0  | 26.5   | 23.0
78.0  | 79.5  | 65.5  | 69.5  | 67.5   | 65.5
99.6  | 99.5  | 103.4 | 99.7  | 100.9  | 99.3
33    | 32    | 30    | 32.5  | 27.5   | 36
2.0   | 1.7   | 4.2   | 1.4   | 2.3    | 4.2
0.5   | 1.0   | 1.1   | 1.6   | 4.1    | 5.3
0.1   | 0.3   | 0.1   | 0.2   | 0.5    | 1.3
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0
---   | ---   | ---   | ---   | ---    | ---
3330  | 2298  | 582   | 350   | 458    | 624
5.1   | 6.4   | 7.2   | 7.4   | 7.5    | 7.7
5.4   | 6.6   | 7.8   | 8.1   | 8.3    | 8.6
4.4   | 5.1   | 5.9   | 6.5   | 6.5    | 7.1
5.1   | 4.2   | 7.8   | 7.6   | 11.1   | 6.9
1.8   | 2.9   | 5.1   | 4.7   | 4.4    | 3.0
5.3   | 6.4   | 8.3   | 8.0   | 9.3    | 16.0
2.0   | 2.4   | 4.2   | 4.7   | 3.9    | 5.0
3.0   | 2.0   | 0.0   | 0.0   | 0.0    | 0.0
31.2  | 35.0  | 30.5  | 34.2  | 31.7   | 53.3
17.0  | 18.3  | 27.2  | 23.4  | 29.3   | 30.0
14.2  | 15.9  | 25.4  | 25.0  | 28.7   | 30.9
84    | 87    | 93    | 107   | 98     | 103
-     | -     | -     | -     | -      |
---   | ---   | ---   | 1.8   | 2.6    | 2.8
---   | ---   | ---   | 0.6   | 0.2    | 1.0
---   | ---   | ---   | 35.0  | 36.0   | 45.0
---   | ---   | ---   | 1.0   | ---    | ---
---   | ---   | ---   | 4.0   | 3.2    | 3.6
---   | ---   | ---   | 25.6  | 26.4   | 31.2
---   | ---   | ---   | 14.8  | 17.4   | 21.0
---   | ---   | ---   | 32    | 30     | 33
