a     | ab    | bt1   | bt2   | bc     | c       | ck
0-23  | 23-33 | 33-65 | 65-91 | 91-127 | 127-146 | 146-180
2.86  | 1.57  | 0.72  | 0.53  | 0.29   | 0.28    | 0.22
1.66  | 0.91  | 0.42  | 0.31  | 0.17   | 0.16    | 0.13
0.138 | 0.084 | 0.066 | 0.050 | 0.04   | 0.04    | 0.02
12    | 11    | 6     | 6     | 4      | 5       | 5
31.0  | 39.5  | 40.6  | 34.5  | 29.5   | 29.9    | 19.5
66.0  | 58.3  | 56.8  | 62.7  | 66.5   | 64.1    | 67.4
100.0 | 100.0 | 100.0 | 100.0 | 100.0  | 100.0   | 100.0
41    | 36.3  | 36.1  | 40.9  | 42.4   | 40.3    | 42.4
2.6   | 1.9   | 1.9   | 2.5   | 3.1    | 3.7     | 8.0
0.4   | 0.3   | 0.7   | 0.3   | 0.9    | 2.3     | 5.1
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.6     | 3.6
---   | ---   | ---   | ---   | ---    | ---     | ---
1200  | 1500  | 1650  | 1550  | 1382   | 887     | 712
6.5   | 6.6   | 7.4   | 7.8   | 8.0    | 8.9     | 9.1
6.6   | 6.9   | 7.6   | 8.0   | 8.3    | 9.0     | 9.2
5.5   | 5.2   | 5.5   | 5.7   | 5.9    | 7.4     | 7.7
13.0  | 14.1  | 18.0  | 17.5  | 15.4   | 13.3    | 7.6
3.2   | 3.4   | 2.8   | 2.3   | 5.1    | 4.5     | 5.1
0.5   | 1.1   | 1.3   | 2.0   | 2.7    | 4.8     | 5.9
2.3   | 1.9   | 2.4   | 2.4   | 2.5    | 2.5     | 2.5
2.6   | 2.6   | 1.8   | 1.7   | 1.8    | 0.0     | 0.0
2.3   | 4.8   | 4.7   | 7.9   | 10.8   | 19.8    | 26.0
22.1  | 22.8  | 27.6  | 25.2  | 25.1   | 24.2    | 22.7
19.0  | 20.5  | 24.5  | 24.2  | 25.7   | 25.1    | 21.1
86    | 90    | 89    | 96    | 102    | 104     | 93
