e     | bt    | 2bck  | 2bck  | 3ck1  | 3ck2
0     | 28    | 45    | 65    | 95    | 140
2.47  | 0.86  | 0.41  | 0.24  | 0.19  | 0.19
1.43  | 0.50  | 0.24  | 0.14  | 0.11  | 0.11
0.161 | 0.073 | 0.034 | 0.025 | ---   | ---
9     | 7     | 7     | 6     | ---   | ---
14.8  | 17.3  | 7.6   | 8.1   | 9.2   | 7.6
69.3  | 70.5  | 79.1  | 73.4  | 68.2  | 74.6
100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0
-     | -     | -     | -     | -     |
14.1  | 11.1  | 11.9  | 17.1  | 20.0  | 15.9
1.8   | 1.1   | 1.4   | 1.4   | 2.6   | 1.9
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 2.5   | 11.8  | 1.1   | 0.2   | 3.4
28.0  | 57.0  | 38.8  | 35.5  | 28.2  | 25.6
---   | ---   | ---   | ---   | ---   | ---
6.1   | 8.9   | 9.1   | 8.9   | 8.7   | 8.8
6.3   | 9.2   | 9.4   | 9.2   | 9.0   | 9.2
---   | ---   | ---   | ---   | ---   | ---
5.9   | ---   | ---   | ---   | ---   | ---
2.2   | ---   | ---   | ---   | ---   | ---
3.4   | 13.4  | 11.4  | 10.3  | 8.0   | 4.1
2.0   | 4.5   | 4.2   | 3.7   | 3.3   | 2.9
6.3   | ---   | ---   | ---   | ---   | ---
22.5  | 45.6  | 41.9  | 45.2  | 44.2  | 26.5
15.1  | 29.4  | 27.2  | 22.8  | 18.1  | 15.5
13.5  | ---   | ---   | ---   | ---   | ---
89    | ---   | ---   | ---   | ---   | ---
