a     | ba    | bt1   | bt2   | bt3    | bc      | c       | ck
0-27  | 27-40 | 40-68 | 68-97 | 97-130 | 130-165 | 165-225 | 225-300
2.00  | 1.38  | 0.83  | 0.34  | 0.38   | 0.19    | 0.07    | 0.02
1.16  | 0.80  | 0.48  | 0.20  | 0.22   | 0.11    | 0.04    | 0.01
0.131 | 0.082 | 0.085 | 0.048 | 0.04   | 0.03    | 0.03    | 0.02
9     | 10    | 6     | 4     | 6      | 4       | 2       | 0
28.7  | 32.9  | 59.4  | 54.4  | 47.0   | 42.3    | 29.1    | ---
66.7  | 63.2  | 38.6  | 43.2  | 49.6   | 54.0    | 66.2    | ---
100.1 | 100.0 | 100.0 | 100.0 | 100.0  | 100.0   | 100.0   | ---
38.4  | 37.1  | 22.4  | 26.9  | 32.2   | 33.8    | 43.8    | ---
3.4   | 3.1   | 1.5   | 1.8   | 2.5    | 2.7     | 3.5     | ---
1.3   | 0.8   | 0.5   | 0.6   | 0.9    | 1.0     | 1.2     | ---
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0     | ---
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0     | ---
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0     | ---
---   | ---   | ---   | ---   | ---    | ---     | ---     | ---
---   | ---   | ---   | ---   | ---    | ---     | ---     | ---
5557  | 4702  | 1838  | 1966  | 2479   | 2608    | 1539    | 1710
5.5   | 5.6   | 5.9   | 6.1   | 5.8    | 6.0     | 6.8     | 7.6
5.6   | 5.9   | 6.4   | 6.5   | 6.3    | 6.6     | 7.0     | 8.0
4.8   | 4.9   | 5.0   | 5.2   | 5.0    | 5.2     | 6.0     | 7.4
6.1   | 7.2   | 9.1   | 8.4   | 7.1    | 6.9     | 8.0     | 9.6
1.8   | 1.4   | 4.4   | 4.6   | 5.0    | 4.2     | 4.0     | 4.3
1.2   | 0.5   | 0.5   | 0.5   | 0.5    | 0.5     | 0.5     | 0.6
2.7   | 2.4   | 3.9   | 3.7   | 3.6    | 3.6     | 3.2     | 3.4
2.9   | 2.4   | 2.0   | 2.0   | 2.0    | 2.0     | ---     | ---
9.1   | 3.9   | 2.6   | 2.7   | 3.0    | 3.0     | 2.9     | 3.2
13.2  | 12.9  | 19.4  | 18.5  | 16.8   | 16.5    | 17.1    | 19.0
11.8  | 11.5  | 17.9  | 17.2  | 16.2   | 15.2    | 15.7    | 17.9
89    | 89    | 92    | 93    | 96     | 92      | 92      | 94
