ap    | a     | ba     | bt1   | bt2   | bc    | c
0     | 14    | 26     | 33    | 60    | 78    | +     106
3.79  | 3.08  | 1.48   | 1.17  | 0.79  | 0.44  | 0.20
2.20  | 1.79  | 0.86   | 0.68  | 0.46  | 0.26  | 0.12
0.196 | 0.158 | 0.091  | 0.081 | 0.074 | 0.042 |
11    | 11    | 9      | 8     | -     | -     |
23.2  | 24.6  | 30.3   | 38.3  | 33.9  | 23.3  | 14.2
69.8  | 68.3  | 62.5   | 55.4  | 48.6  | 68.7  | 80.0
100   | 100   | 100    | 100   | 100   | 100   | 100
-     | -     | -      | -     | -     | -     |
6.6   | 6.5   | 6.9    | 5.9   | 6.9   | 7.5   | 5.1
0.4   | 0.6   | 0.3    | 0.4   | 0.6   | 0.5   | 0.7
0.0   | 0.0   | 0.0    | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0    | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0    | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.00.0 | 0.0   | 0.0   | 0.0   | 0.0
31.2  | 32.6  | 31.9   | 35.4  | 35.1  | 32.0  | 27.2
-     | -     | -      | -     | -     | -     |
5.5   | 5.3   | 5.7    | 5.9   | 5.9   | 6.0   | 6.1
5.6   | 5.5   | 5.8    | 6.0   | 6.1   | 6.2   | 6.4
-     | -     | -      | -     | -     | -     |
13.8  | 14.2  | 13.0   | 16.7  | 16.6  | 14.8  | 14.1
3.2   | 3.1   | 3.7    | 4.7   | 5.0   | 4.8   | 3.9
0.1   | 0.1   | 0.1    | 0.2   | 0.2   | 0.2   | 0.2
2.2   | 1.5   | 1.4    | 1.9   | 2.0   | 2.1   | 1.9
7.6   | 8.3   | 6.8    | 7.3   | 6.7   | 5.4   | 3.9
-     | -     | -      | -     | -     | -     |
22.9  | 23.0  | 22.2   | 26.3  | 27.1  | 24.2  | 21.1
19.3  | 18.9  | 18.2   | 23.5  | 23.8  | 21.9  | 20.1
84    | 82    | 82     | 89    | 88    | 90    | 95
