a     | e     | bt1   | bt2   | bc
0     | 29    | 39    | 65    | 88
3.91  | 1.53  | 1.19  | 0.53  | 0.28
2.27  | 0.89  | 0.69  | 0.31  | 0.16
0.199 | 0.064 | 0.074 | 0.051 | 0.033
11    | 14    | 9     | 6     | 5
26.0  | 25.0  | 50.0  | 50.0  | 35.0
70.5  | 72.0  | 48.0  | 48.5  | 62.5
98.8  | 99.6  | 99.5  | 99.6  | 99.6
30.5  | 33.0  | 19.0  | 23.5  | 26.0
2.0   | 1.8   | 1.2   | 1.0   | 1.8
0.2   | 0.6   | 0.2   | 0.1   | 0.2
0.1   | 0.2   | 0.1   | 0.0   | 0.1
0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0
---   | ---   | ---   | ---   | ---
31.1  | 29.0  | 57.0  | 54.7  | 41.7
4739  | 4503  | 1138  | 711   | 474
5.8   | 7.2   | 7.0   | 7.3   | 7.4
6.0   | 6.6   | 7.4   | 7.8   | 8.1
5.1   | 5.5   | 6.1   | 6.2   | 6.6
8.4   | 7.0   | 16.0  | 16.0  | 15.4
0.8   | 0.4   | 3.2   | 3.2   | 3.4
1.0   | 1.1   | 4.4   | 4.7   | 4.0
1.5   | 0.9   | 2.3   | 2.0   | 2.5
---   | ---   | ---   | ---   | ---
6.7   | 8.9   | 15.4  | 16.5  | 15.7
15.0  | 12.0  | 28.6  | 28.4  | 25.4
11.7  | 9.4   | 25.9  | 25.9  | 25.3
78    | 78    | 91    | 91    | 100
