a     | e     | bt1   | bt2   | btn1   | bcn     | cn
0-23  | 23-31 | 31-67 | 67-97 | 97-120 | 120-150 | +150
2.45  | 1.41  | 1.03  | 0.62  | 0.28   | 0.19    | 0.12
1.42  | 0.82  | 0.60  | 0.36  | 0.16   | 0.11    | 0.07
0.126 | 0.068 | 0.067 | 0.043 | 0.03   | 0.03    | 0.02
11    | 12    | 9     | 8     | 5      | 4       | 3
22.5  | 19.0  | 35.0  | 36.0  | 30.0   | 30.5    | 27.5
75.0  | 78.0  | 62.5  | 62.0  | 66.5   | 67.0    | 69.0
99.6  | 99.6  | 99.4  | 99.6  | 99.7   | 99.7    | 99.3
28.5  | 34.5  | 27    | 26.5  | 30.5   | 30.0    | 24.0
1.7   | 2.1   | 1.5   | 1.3   | 2.9    | 1.7     | 2.2
0.3   | 0.4   | 0.3   | 0.2   | 0.3    | 0.4     | 0.5
0.1   | 0.1   | 0.1   | 0.1   | 0.0    | 0.1     | 0.1
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0
33.5  | 27.1  | 39.0  | 41.6  | 37.5   | 37.7    | 34.7
7224  | 5472  | 1414  | 1003  | 912    | 775     | 798
5.7   | 6.0   | 7.1   | 7.5   | 7.1    | 7.6     | 7.6
5.9   | 6.6   | 7.9   | 8.3   | 8.2    | 8.3     | 8.3
4.9   | 5.3   | 6.1   | 6.4   | 6.5    | 6.5     | 6.5
10.0  | 8.6   | 22.4  | 20.4  | 15.4   | 16.8    | 14.2
3.2   | 2.4   | 3.8   | 4.6   | 3.8    | 3.6     | 4.0
0.9   | 1.8   | 3.4   | 3.9   | 4.1    | 4.1     | 4.0
0.8   | 1.2   | 1.8   | 2.1   | 1.5    | 1.9     | 1.9
6.3   | 2.7   | ---   | ---   | ---    | ---     | ---
5.1   | 11.5  | 10.3  | 11.9  | 15.8   | 15.6    | 16.3
17.8  | 15.6  | 33.0  | 32.8  | 25.9   | 26.3    | 24.6
14.9  | 14.0  | 31.4  | 31.0  | 24.8   | 26.4    | 24.1
84    | 90    | 95    | 95    | 96     | 100     | 98
