ap    | a     | eb    | bt1   | bt2   | bt3    | bc      | c
5-10  | 16-21 | 25-31 | 35-58 | 62-80 | 84-103 | 107-128 | 132-148
2.52  | 2.33  | 1.91  | 0.97  | 0.84  | 0.60   | 0.33    | 0.29
1.46  | 1.35  | 1.11  | 0.56  | 0.49  | 0.35   | 0.19    | 0.17
0.135 | 0.103 | 0.092 | 0.076 | 0.065 | 0.046  | 0.034   | 0.029
11    | 13    | 12    | 7     | 8     | 8      | 6       | 6
27.0  | 29.0  | 28.5  | 37.0  | 34.0  | 33.5   | 26.0    | 26.0
70.0  | 69.0  | 69.5  | 61.0  | 64.0  | 63.5   | 69.0    | 71.5
99.2  | 99.6  | 99.5  | 99.5  | 99.4  | 99.7   | 99.3    | 99.6
29.0  | 29.0  | 24.0  | 24.5  | 33.0  | 37.5   | 30.5    | 28.5
1.7   | 1.2   | 1.2   | 1.2   | 1.2   | 1.8    | 2.9     | 1.8
0.4   | 0.4   | 0.3   | 0.3   | 0.2   | 0.9    | 1.5     | 0.3
0.1   | 0.0   | 0.0   | 0.0   | 0.0   | 0.1    | 0.0     | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0
---   | ---   | ---   | ---   | ---   | ---    | ---     | ---
---   | ---   | ---   | ---   | ---   | ---    | ---     | ---
5074  | 3088  | 3353  | 2382  | 2206  | 2647   | 2912    | 3267
5.7   | 5.8   | 5.8   | 5.9   | 6.1   | 6.3    | 6.3     | 6.8
6.0   | 6.0   | 6.1   | 6.6   | 6.8   | 7.0    | 7.0     | 7.1
5.2   | 5.2   | 5.2   | 5.1   | 5.3   | 5.3    | 5.4     | 5.5
8.8   | 10.0  | 10.8  | 14.2  | 16.0  | 15.2   | 13.2    | 13.0
1.8   | 2.4   | 3.0   | 4.4   | 3.8   | 4.4    | 3.6     | 3.0
0.1   | 0.1   | 0.1   | 0.1   | 0.2   | 0.1    | 0.2     | 0.2
1.4   | 1.3   | 1.2   | 2.0   | 2.3   | 2.3    | 2.1     | 1.8
4.5   | 3.5   | 2.9   | 2.9   | 0.4   | 0.4    | 0.9     | 0.4
0.6   | 0.6   | 0.5   | 0.4   | 0.8   | 0.4    | 0.9     | 1.0
17.2  | 17.6  | 18.2  | 24.6  | 23.8  | 23.4   | 22.6    | 21.0
12.1  | 13.8  | 15.1  | 20.7  | 22.3  | 22.0   | 19.1    | 18.0
70    | 78    | 83    | 84    | 94    | 94     | 85      | 86
