a     | e     | bt1   | bt2   | bc    | c
0     | 24    | 31    | 64    | 109   | 140
24    | 31    | 64    | 109   | 140   | 160
2.71  | 0.86  | 1.14  | 0.57  | 0.40  | 0.24
1.57  | 0.50  | 0.66  | 0.33  | 0.23  | 0.14
0.153 | 0.059 | 0.081 | 0.045 | 0.03  | 0.03
10    | 8     | 8     | 7     | 7     | 6
20.5  | 14.8  | 35.1  | 20.7  | 19.7  | 19.2
73.6  | 78.0  | 56.2  | 72.5  | 71.4  | 70.5
100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0
---   | ---   | ---   | ---   | ---   | ---
5.3   | 6.7   | 7.4   | 6.3   | 7.9   | 9.6
0.6   | 0.5   | 1.3   | 0.5   | 1.0   | 0.7
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | vest. | 0.4   | 0.5
28.1  | 23.9  | 41.8  | 34.3  | 31.1  | 29.3
---   | ---   | ---   | ---   | ---   | ---
5.6   | 6.0   | 7.0   | 7.7   | 7.8   | 8.0
5.8   | 6.2   | 7.5   | 8.1   | 8.5   | 8.7
---   | ---   | ---   | ---   | ---   | ---
10.1  | 5.3   | 11.9  | 12.1  | ---   | ---
2.3   | 1.8   | 8.9   | 8.0   | ---   | ---
0.3   | 0.4   | 4.0   | 4.7   | 5.5   | 6.3
1.4   | 1.0   | 2.8   | 3.5   | 3.3   | 3.3
7.3   | 3.7   | 5.1   | 3.5   | ---   | ---
1.8   | 4.1   | 14.3  | 17.4  | 22.5  | 30.0
16.4  | 9.8   | 27.9  | 27.0  | 24.4  | 21.0
14.1  | 8.5   | 27.6  | 28.3  | ---   | ---
86    | 87    | 99    | 105   | ---   | ---
