HORIZONTE->NOMBRE(S)........# : a | be | bt1 | bt2 | bt3 | bc | c | ck
HORIZONTE->Profundidad muestra# cm: 0-20 | 20-32 | 32-72 | 72-94 | 94-122 | 122-155 | 155-183 | + 183
HORIZONTE->Mat. orgánica# %: 2.72 | 1.84 | 0.38 | 0.26 | 0.12 | 0.12 | --- | 0.07
HORIZONTE->C orgánico# %: 1.58 | 1.07 | 0.22 | 0.15 | 0.07 | 0.07 | No Detecta | 0.04
HORIZONTE->N total# %: 0.136 | 0.092 | 0.019 | 0.013 | 0.006 | 0.006 | No Detecta | 0.003
HORIZONTE->Relación C/N# ---: 12 | 12 | 12 | 11 | 12 | 12 | - | 13
HORIZONTE->Arcilla < 2µ# %: 29.81 | 33.75 | 44.37 | 28.90 | 30.77 | 25.32 | 17.84 | 13.40
HORIZONTE->Limo 2-50µ# %: 67.87 | 63.67 | 54.05 | 68.00 | 66.26 | 70.74 | 68.13 | 66.43
HORIZONTE->TOTAL# %: 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0
HORIZONTE->Limo 2-20µ# %: --- | --- | --- | --- | --- | --- | --- | ---
HORIZONTE->Muy fina 50-100µ# %: --- | --- | --- | --- | --- | --- | --- | ---
HORIZONTE->Fina 100-250µ# %: --- | --- | --- | --- | --- | --- | --- | ---
HORIZONTE->Media 250-500µ# %: --- | --- | --- | --- | --- | --- | --- | ---
HORIZONTE->Gruesa 500-1000µ# %: --- | --- | --- | --- | --- | --- | --- | ---
HORIZONTE->Muy gruesa 1-2mm# %: --- | --- | --- | --- | --- | --- | --- | ---
HORIZONTE->Calcáreo, CaCO3# %: --- | --- | --- | --- | --- | --- | --- | ---
HORIZONTE->Equiv.humedad# %: --- | --- | --- | --- | --- | --- | --- | ---
HORIZONTE->Resist.pasta# ohms: --- | --- | --- | --- | --- | --- | --- | ---
HORIZONTE->pH pasta (1:1)# ---: --- | --- | --- | --- | --- | --- | --- | ---
HORIZONTE->pH agua (1:2,5)# ---: 6.4 | 6.3 | 6.8 | 6.9 | 7.1 | 7.1 | 7.5 | 8.3
HORIZONTE->pH 1N ClK (1:2,5)# ---: --- | --- | --- | --- | --- | --- | --- | ---
HORIZONTE->Ca++ intercambio# me/100g: 12.2 | 11.0 | 16.2 | 15.3 | 14.8 | 13.0 | 15.4 | 28.2
HORIZONTE->Mg++ intercambio# me/100g: 5.0 | 4.2 | 6.1 | 5.2 | 6.1 | 6.1 | 3.8 | 3.4
HORIZONTE->Na+ intercambio# me/100g: 0.1 | 0.1 | 0.1 | 0.1 | 0.2 | 0.2 | 0.2 | 0.2
HORIZONTE->K+ intercambio# me/100g: 1.7 | 1.3 | 1.9 | 1.9 | 1.9 | 1.9 | 1.8 | 1.8
HORIZONTE->H+ intercambio# me/100g: --- | --- | --- | --- | --- | --- | --- | ---
HORIZONTE->(Na+/T)# %: 0.6 | 0.5 | 0.4 | 0.5 | 0.8 | 1.3 | 0.9 | 0.9
HORIZONTE->C.I.C., (T)# me/100g: 18.0 | 18.2 | 23.8 | 22.0 | 23.8 | 15.3 | 23.1 | 22.3
HORIZONTE->Suma bases (S)# me/100g: 19.0 | 16.5 | 24.2 | 22.5 | 23.0 | 21.2 | 21.3 | 33.7
HORIZONTE->Sat.bases, (S/T)# %: 105.6 | 90.8 | 101.8 | 102.2 | 96.4 | 138.7 | 92.0 | 151.3
