A     | E     | Bt1   | Bt2   | BC    | C
5-15  | 27-34 | 40-50 | 55-65 | 85-95 | 125-135
2.83  | 1.03  | 1.34  | 0.59  | 0.41  | ---
1.64  | 0.60  | 0.78  | 0.34  | 0.24  | ---
0.151 | 0.057 | 0.068 | 0.048 | ---   | ---
11    | 11    | 11    | 7     | ---   | ---
17.0  | 15.0  | 28.5  | 32.5  | 21.9  | 17.7
50.2  | 48.9  | 46.6  | 40.1  | 38.4  | 42.6
32.8  | 36.1  | 24.9  | 27.4  | 39.7  | 39.7
100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0
-     | -     | -     | -     | -     | -
-     | -     | -     | -     | -     | -
31.4  | 34.4  | 24.0  | 26.1  | 36.2  | 37.2
1.4   | 1.7   | 0.9   | 1.3   | 3.5   | 2.5
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
22.1  | 19.2  | 29.6  | 35.1  | 26.2  | 24.1
---   | ---   | ---   | ---   | ---   | ---
---   | ---   | ---   | ---   | ---   | ---
5.9   | 6.3   | 6.2   | 6.2   | 6.6   | 6.2
6.6   | 7.4   | 7.6   | 7.7   | 7.9   | 7.2
---   | ---   | ---   | ---   | ---   | ---
6.8   | 4.4   | 8.8   | 10.7  | 9.0   | 7.2
4.0   | 4.1   | 5.9   | 8.5   | 5.5   | 5.3
0.2   | 0.3   | 0.9   | 1.5   | 1.3   | 0.7
2.6   | 2.0   | 2.9   | 3.4   | 3.0   | 2.6
5.2   | 2.5   | 3.9   | 4.0   | 2.9   | 3.1
1.4   | 3.1   | 4.3   | 5.7   | 7.5   | 4.2
14.5  | 9.7   | 21.0  | 26.1  | 17.3  | 16.7
13.6  | 10.8  | 18.5  | 24.1  | 18.8  | 15.8
94    | 111   | 88    | 92    | 109   | 95
