Ap    | BE    | Bt1   | Bt2    | BCm
0-20  | 20-26 | 26-75 | 75-110 | +110
3.28  | 1.55  | 0.69  | 0.34   | 0.14
1.90  | 0.90  | 0.40  | 0.20   | 0.08
---   | ---   | ---   | ---    | ---
---   | ---   | ---   | ---    | ---
28.1  | 29.9  | 34.5  | 40.0   | 29.7
62.9  | 61.6  | 58.2  | 51.4   | 60.2
9.0   | 8.5   | 7.3   | 8.6    | 10.1
100.0 | 100.0 | 100.0 | 100.0  | 100.0
---   | ---   | ---   | ---    | ---
-     | -     | -     | -      | -
8.3   | 7.7   | 7.0   | 7.8    | 9.2
0.7   | 0.8   | 0.3   | 0.8    | 0.9
0.0   | 0.0   | 0.0   | 0.0    | 0.0
0.0   | 0.0   | 0.0   | 0.0    | 0.0
0.0   | 0.0   | 0.0   | 0.0    | 0.0
0.00  | 0.00  | 0.00  | 0.00   | 0.00
33.4  | 31.6  | 34.1  | 33.5   | 29.8
---   | ---   | ---   | ---    | ---
---   | ---   | ---   | ---    | ---
5.6   | 5.8   | 6.5   | 6.2    | 6.5
6.3   | 6.7   | 7.2   | 7.2    | 7.3
---   | ---   | ---   | ---    | ---
10.4  | 10.5  | 16.5  | 16.3   | 15.6
3.1   | 3.8   | 5.9   | 4.9    | 5.3
0.2   | 0.3   | 0.3   | 0.2    | 0.4
2.1   | 2.1   | 3.0   | 2.7    | 3.0
9.5   | 8.2   | 5.6   | 6.4    | 4.3
1.0   | 1.5   | 1.1   | 0.8    | 1.6
21.0  | 20.2  | 27.0  | 26.4   | 25.3
15.8  | 16.7  | 25.7  | 24.1   | 24.3
75    | 83    | 95    | 91     | 96
