A     | BA    | Bt1   | Bt2    | BC      | C       | Ck
0-27  | 27-37 | 37-82 | 82-116 | 116-147 | 147-210 | 210-240
3.28  | 1.45  | 0.53  | 0.29   | 0.28    | 0.33    | 0.17
1.90  | 0.84  | 0.31  | 0.17   | 0.16    | 0.19    | 0.10
0.148 | 0.080 | 0.056 | 0.040  | 0.03    | 0.04    | 0.02
13    | 11    | 6     | 4      | 5       | 5       | 4
34.7  | 42.5  | 46.5  | 45.0   | 34.5    | 35.6    | 18.9
63.1  | 55.3  | 51.5  | 53.1   | 62.0    | 61.3    | 63.3
2.2   | 2.2   | 2.0   | 1.9    | 3.5     | 3.1     | 17.8
100.0 | 100.0 | 100.0 | 100.0  | 100.0   | 100.0   | 100.0
41.8  | 35.2  | 32.5  | 34.7   | 41      | 39.2    | 40.6
-     | -     | -     | -      | -       | -       | -
1.9   | 1.9   | 1.7   | 1.5    | 2.7     | 2.4     | 7.9
0.3   | 0.3   | 0.3   | 0.4    | 0.8     | 0.7     | 9.9
0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0     | 0.0
0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0     | 0.0
0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0     | 0.0
0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0     | 3.7
---   | ---   | ---   | ---    | ---     | ---     | ---
1780  | 2520  | 2500  | 2650   | 2710    | 2680    | 1120
---   | ---   | ---   | ---    | ---     | ---     | ---
6.0   | 6.1   | 6.7   | 7.0    | 6.9     | 7.0     | 8.4
6.2   | 6.2   | 6.8   | 7.2    | 7.2     | 7.2     | 8.5
5.0   | 4.8   | 5.1   | 5.4    | 5.4     | 5.4     | 7.2
12.5  | 13.5  | 16.5  | 18.6   | 17.4    | 19.2    | 20.9
2.9   | 4.0   | 5.3   | 5.4    | 5.4     | 2.8     | 3.6
0.5   | 0.5   | 0.7   | 0.6    | 0.6     | 0.6     | 1.2
2.0   | 1.7   | 1.6   | 2.5    | 2.5     | 2.3     | 2.4
3.4   | 3.4   | 2.6   | 2.7    | 1.8     | 1.8     | 0.0
2.4   | 2.2   | 2.6   | 2.1    | 2.2     | 2.3     | 4.5
21.0  | 23.1  | 26.6  | 28.4   | 26.9    | 26.3    | 26.7
17.9  | 19.7  | 24.1  | 27.1   | 25.9    | 24.9    | 28.1
85    | 85    | 91    | 95     | 96      | 95      | 105
