HORIZONTE->NOMBRE(S)........# : e | bt1 | bt2 | bc | c
HORIZONTE->Profundidad# cm: 0-13 | 13-43 | 43-79 | 79-105 | 105-195
HORIZONTE->muestra# cm: 13 | 43 | 79 | 105 | 195
HORIZONTE->Mat. orgánica# %: 4.52 | 1.07 | 0.66 | 0.34 | 0.10
HORIZONTE->C orgánico# %: 2.62 | 0.62 | 0.38 | 0.20 | 0.06
HORIZONTE->N total# %: 0.180 | 0.055 | 0.044 | 0.035 | 0.020
HORIZONTE->Relación C/N# ---: 15 | 11 | 9 | 6 | 3
HORIZONTE->Arcilla < 2µ# %: 27.0 | 45.0 | 45.0 | 41.5 | 28.9
HORIZONTE->Limo 2-50µ# %: 69.6 | 52.8 | 52.7 | 56.1 | 62.5
HORIZONTE->TOTAL# %: 100.0 | 100.0 | 100.0 | 100.0 | 100.0
HORIZONTE->Limo 2-20µ# %: 52.6 | 34.6 | 33.1 | 31.9 | 35.9
HORIZONTE->Muy fina 50-100µ# %: 2.6 | 1.8 | 1.6 | 1.8 | 5.4
HORIZONTE->Fina 100-250µ# %: 0.7 | 0.4 | 0.7 | 0.5 | 3.2
HORIZONTE->Media 250-500µ# %: 0.1 | 0.0 | 0.0 | 0.1 | 0.0
HORIZONTE->Gruesa 500-1000µ# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Muy gruesa 1-2mm# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Calcáreo, CaCO3# %: --- | --- | --- | --- | ---
HORIZONTE->Equiv.humedad# %: --- | --- | --- | --- | ---
HORIZONTE->Resist.pasta# ohms: 438 | 644 | 814 | 669 | 741
HORIZONTE->pH pasta (1:1)# ---: 7.0 | 8.1 | 7.9 | 8.4 | 8.4
HORIZONTE->pH agua (1:2,5)# ---: 7.3 | 8.4 | 8.5 | 8.9 | 8.8
HORIZONTE->pH 1N ClK (1:2,5)# ---: 6.2 | 6.6 | 6.5 | 6.7 | 6.5
HORIZONTE->Ca++ intercambio# me/100g: 11.3 | 14.9 | 16.8 | 16.2 | 10.9
HORIZONTE->Mg++ intercambio# me/100g: 2.1 | 3.0 | 2.8 | 1.3 | 4.1
HORIZONTE->Na+ intercambio# me/100g: 4.2 | 6.2 | 6.2 | 8.6 | 8.3
HORIZONTE->K+ intercambio# me/100g: 1.3 | 1.7 | 2.1 | 2.4 | 2.3
HORIZONTE->H+ intercambio# me/100g: 1.7 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->(Na+/T)# %: 21.5 | 24.0 | 22.9 | 31.4 | 32.8
HORIZONTE->C.I.C., (T)# me/100g: 19.5 | 25.8 | 27.1 | 27.4 | 25.3
HORIZONTE->Suma bases (S)# me/100g: 18.9 | 25.8 | 27.9 | 28.5 | 25.6
HORIZONTE->Sat.bases, (S/T)# %: 97 | 100 | 103 | 104 | 101
