HORIZONTE->NOMBRE(S)........# : a | ba | bt1 | bt2 | bt3 | bc | c | ck
HORIZONTE->Profundidad muestra# cm: 0-23 | 23-36 | 36-56 | 56-74 | 74-95 | 95-126 | 126-138 | 138 +
HORIZONTE->Mat. orgánica# %: 2.88 | 2.31 | 1.31 | 0.78 | 0.51 | 0.30 | 0.24 | 0.17
HORIZONTE->C orgánico# %: 1.67 | 1.34 | 0.76 | 0.45 | 0.30 | 0.17 | 0.14 | 0.10
HORIZONTE->N total# %: 0.13 | 0.11 | 0.08 | 0.05 | 0.04 | 0.03 | 0.03 | 0.02
HORIZONTE->Relación C/N# ---: 13 | 13 | 10 | 9 | 7 | 7 | 6 | 5
HORIZONTE->Arcilla < 2µ# %: 25 | 31.4 | 33.2 | 55.3 | 45.2 | 40.9 | 32.1 | 26.2
HORIZONTE->Limo 2-50µ# %: 64.8 | 59.6 | 61.6 | 38.8 | 48.3 | 51.3 | 60.1 | 65.1
HORIZONTE->TOTAL# %: 100 | 100 | 100 | 100 | 100 | 100 | 100 | 100
HORIZONTE->Limo 2-20µ# %: 29.9 | 31.7 | 31.7 | 25.1 | 27.9 | 30.6 | 30.6 | 35.1
HORIZONTE->Muy fina 50-100µ# %: 6.9 | 6.1 | 3.7 | 4.2 | 4.6 | 5.7 | 5.3 | 6.4
HORIZONTE->Fina 100-250µ# %: 2.9 | 2.5 | 1.3 | 1.5 | 1.6 | 1.8 | 2.2 | 2.0
HORIZONTE->Media 250-500µ# %: 0.4 | 0.4 | 0.2 | 0.2 | 0.3 | 0.3 | 0.3 | 0.3
HORIZONTE->Gruesa 500-1000µ# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Muy gruesa 1-2mm# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Calcáreo, CaCO3# %: ---- | ---- | ---- | ---- | ---- | ---- | ---- | 0.2
HORIZONTE->Equiv.humedad# %: ---- | ---- | ---- | ---- | ---- | ---- | ---- | ----
HORIZONTE->Resist.pasta# ohms: >1000 | >1000 | >1000 | >1000 | >1000 | >1000 | >1000 | >1000
HORIZONTE->pH pasta (1:1)# ---: 6.1 | 6.1 | 6.7 | 6.6 | 7.5 | 7.7 | 7.7 | 8.3
HORIZONTE->pH agua (1:2,5)# ---: 6.3 | 6.6 | 6.9 | 7.0 | 7.7 | 7.8 | 7.8 | 8.4
HORIZONTE->pH 1N ClK (1:2,5)# ---: 5.2 | 5.3 | 5.1 | 5.1 | 5.6 | 6.0 | 6.0 | 7.0
HORIZONTE->Ca++ intercambio# me/100g: 11.8 | 14.8 | 27.8 | 26.7 | 19.6 | 18.5 | 18.4 | 12.9
HORIZONTE->Mg++ intercambio# me/100g: 1.4 | 1.2 | 1.3 | 2.6 | 3.4 | 2.7 | 2.5 | 4.3
HORIZONTE->Na+ intercambio# me/100g: 0.4 | 0.5 | 0.6 | 0.7 | 0.9 | 0.8 | 0.8 | 1.0
HORIZONTE->K+ intercambio# me/100g: 0.9 | 0.8 | 1.3 | 1.2 | 1.1 | 1.0 | 1.0 | 0.7
HORIZONTE->H+ intercambio# me/100g: 2.5 | 2.5 | 1.8 | 1.8 | 1.7 | 1.7 | 1.7 | ----
HORIZONTE->(Na+/T)# %: 2.2 | 2.4 | 1.8 | 2.0 | 3.2 | 3.0 | 3.0 | 5.6
HORIZONTE->C.I.C., (T)# me/100g: 18.0 | 20.7 | 34.0 | 34.4 | 28.3 | 26.4 | 26.4 | 17.8
HORIZONTE->Suma bases (S)# me/100g: 14.5 | 17.3 | 31.0 | 31.2 | 25.0 | 23.0 | 22.7 | 18.9
HORIZONTE->Sat.bases, (S/T)# %: 81 | 84 | 91 | 91 | 88 | 87 | 86 | 106
