Serie LOS CISNES
Simbolo: LCi
Haplustol fluventico, franca gruesa, mixta, termica
Indice de Productividad: 76

Es un suelo bien drenado, desarrollado a partir de sedimentos fluviales de texturas contrastantes francas, franco limosas y franco arcillo limosas. Se caracteriza por poseer capas en profundidad o subsuperficiales donde aumenta abruptamente la materia organica (subgrupo fluventico de los Haplustoles). Ocupa las terrazas del rio Chocancharaua (Cuarto) y derrames altos suavemente ondulados en las proximidades de la ciudad de La Carlota, provincia de Cordoba. Presenta un horizonte Ap de color oscuro (arado), esta bien provisto de materia organica, posee textura franco limosa y estructura en bloques. Sigue un subhorizonte A de textura y estructura similar que se extiende hasta 34 cm. Desde aqui hasta 58 cm continua un horizonte de transicion (AC) apenas edafizado, color algo mas claro y limoso que presenta material calcareo libre en la masa del suelo. Desde esta ultima profundidad y hasta 71 cm aparece una capa mas oscura con mayor contenido de materia organica que tiene textura franco limosa, estructura en bloques con tendencia laminar. Entre 71 y 90 cm continua una capa franco limosa a limosa y desde 90 a 110 cm otra de textura franco arcillo limosa y de color muy oscuro. El perfil culmina con la capa VI franco limosa que se extiende en profundidad.

Descripcion del perfil tipico:

El perfil representativo fue descrito a 17 Km al ONO de la ciudad de La Carlota, departamento Juarez Celman, provincia de Cordoba.

Ap	0-16 cm; color en humedo pardo grisaceo muy oscuro a pardo oscuro (10YR3/2,5); franco limoso; estructura en bloques subangulares medios moderados a debiles; friable en humedo; no plastico; no adhesivo; pH 5,4; raices muy abundantes; limite inferior abrupto, suave.

A	16-34 cm; color en humedo pardo grisaceo muy oscuro a pardo oscuro (10YR3/2,5); franco limoso; estructura en bloques subangulares medios moderados; friable en humedo; no plastico; no adhesivo; pH 7,7; raices abundantes; limite inferior claro/abrupto, suave.

AC	34-58 cm; color en humedo pardo a pardo oscuro (10YR4/3); limoso a franco limoso; estructura en bloques subangulares medios debiles a masivo; friable en humedo; no plastico; no adhesivo; pH 8; moderada reaccion al ClH en la masa del suelo; vestigios de barnices arcillosos; raices comunes; limite inferior abrupto, suave.

2	58-71 cm; color en humedo pardo grisaceo muy oscuro a pardo oscuro (10YR3/2,5); franco limoso; estructura en bloques subangulares medios moderados a debiles; friable en humedo; no plastico; no adhesivo; pH 8,l; moderada reaccion al ClH en la masa del suelo; raices comunes; limite inferior abrupto, suave.

3	71-90 cm; color en humedo pardo a pardo oscuro (10YR4/3); franco limoso a limoso; masivo; friable en humedo; no plastico; no adhesivo; pH 8; moderada reaccion al ClH en la masa del suelo; raices escasas; limite inferior abrupto, suave.

4	90-110 cm; color en humedo gris muy oscuro (10YR3/1); franco arcillo limoso; estructura en bloques debiles tendencia laminar; friable en humedo; ligeramente plastico; ligeramente adhesivo; pH 8; moderada reaccion al ClH en la masa del suelo; raices escasas; limite inferior abrupto, suave.

5	110 cm a +; color en humedo pardo amarillento oscuro (10YR4/4); limoso a franco limoso; masivo tendencia laminar; friable en humedo; no plastico; no adhesivo; pH 8,1; moderada reaccion al ClH en la masa del suelo.

Datos analiticos Serie LOS CISNES
Situacion: Latitud: 33?21'45"S Longitud: 63?27'57"O Altitud: 153 m.s.n.m.
|Horizonte                                                            |Ap      |A       |AC      |2       |3       |4        |5         |
|Profundidad de la muestra (cm)                                       |0-16    |16-34   |34-58   |58-71   |71-90   |90-110   |110 a +   |
|Materia Organica (%)                                                 |2,76    |2,07    |0,86    |2,76    |        |         |          |
|Carbono Organico (%)                                                 |1,6     |1,2     |0,5     |1,6     |        |         |          |
|Nitrogeno total (%)                                                  |0,16    |        |0,08    |        |        |         |          |
|Relacion C/N                                                         |10      |        |6,3     |        |        |         |          |
|Arcilla, <2 u (%)                                                    |8,8     |20,9    |12,5    |19,1    |4,5     |33,0     |11,7      |
|Limo, 2-50 u (%)                                                     |72,7    |66,8    |82,7    |69,3    |78,2    |59,4     |82,0      |
|Arena muy fina, 50-100 u (%)                                         |12,5    |9,1     |2,7     |10,1    |6,8     |5,0      |4,0       |
|Arena fina, 100-250 u (%)                                            |4,9     |4,0     |2,0     |2,5     |6,2     |0,8      |0,3       |
|Arena media, 250-500 u (%)                                           |        |        |        |        |0,9     |0,2      |0,8       |
|Arena gruesa, 500-1000 u (%)                                         |        |        |        |        |        |0,8      |          |
|Arena muy gruesa, 1-2 mm (%)                                         |        |        |        |        |        |0,2      |0,3       |
|Carbonatos, CaCO3 (%)                                                |0,0     |0,0     |3,1     |4,2     |0,8     |1,6      |2,3       |
|Equivalente de humedad (%)                                           |21,6    |30,5    |30,9    |15,1    |10,5    |39,7     |27,8      |
|pH en pasta                                                          |6,1     |7,2     |7,8     |8,0     |7,8     |7,7      |7,8       |
|pH en agua (1:2,5)                                                   |5,4     |7,7     |8,0     |8,1     |8,0     |8,0      |8,1       |
|Cationes de intercambio, meq/100 gr (Ca++)                             |10,8    |22,0    |        |        |         |          |
|Suma de bases, meq/100 gr (S)                                        |18,5    |26,5    |        |        |        |         |          |
|Capacidad de intercambio cationico, meq/100 gr (T)                   |18,5    |26,5    |15,7    |19,0    |10,0    |26,1     |10,7      |
|Saturacion con bases, % (S/T)                                        |100     |100     |        |        |        |         |          |
